program,cores,problem_size,trial,execution_time
serial, 1, 1440, 1, 31.7700000000
serial_transpose, 1, 1440, 1, 13.5000000000
serial_random_line, 1, 1440, 1, 31.3900000000
serial_square_transpose, 1, 1440, 1, 13.4900000000
serial, 1, 1440, 2, 32.6400000000
serial_transpose, 1, 1440, 2, 13.5000000000
serial_random_line, 1, 1440, 2, 31.5900000000
serial_square_transpose, 1, 1440, 2, 13.4600000000
serial, 1, 1440, 3, 31.7600000000
serial_transpose, 1, 1440, 3, 13.5300000000
serial_random_line, 1, 1440, 3, 22.5100000000
serial_square_transpose, 1, 1440, 3, 13.4700000000
serial, 1, 1440, 4, 31.3700000000
serial_transpose, 1, 1440, 4, 13.5100000000
serial_random_line, 1, 1440, 4, 31.4200000000
serial_square_transpose, 1, 1440, 4, 13.4600000000
serial, 1, 1440, 5, 31.3500000000
serial_transpose, 1, 1440, 5, 13.5100000000
serial_random_line, 1, 1440, 5, 31.6800000000
serial_square_transpose, 1, 1440, 5, 13.5200000000
serial, 1, 1440, 6, 31.5900000000
serial_transpose, 1, 1440, 6, 13.5300000000
serial_random_line, 1, 1440, 6, 32.1400000000
serial_square_transpose, 1, 1440, 6, 13.4600000000
serial, 1, 1440, 7, 31.8100000000
serial_transpose, 1, 1440, 7, 13.5400000000
serial_random_line, 1, 1440, 7, 31.4300000000
serial_square_transpose, 1, 1440, 7, 13.4600000000
serial, 1, 1440, 8, 31.5500000000
serial_transpose, 1, 1440, 8, 13.4900000000
serial_random_line, 1, 1440, 8, 31.7800000000
serial_square_transpose, 1, 1440, 8, 13.5500000000
serial, 1, 1440, 9, 28.2200000000
serial_transpose, 1, 1440, 9, 13.5600000000
serial_random_line, 1, 1440, 9, 23.1100000000
serial_square_transpose, 1, 1440, 9, 13.4700000000
serial, 1, 1440, 10, 31.6400000000
serial_transpose, 1, 1440, 10, 13.5300000000
serial_random_line, 1, 1440, 10, 31.4700000000
serial_square_transpose, 1, 1440, 10, 13.4600000000
serial, 1, 1440, 11, 31.7300000000
serial_transpose, 1, 1440, 11, 13.4900000000
serial_random_line, 1, 1440, 11, 31.6400000000
serial_square_transpose, 1, 1440, 11, 13.4600000000
serial, 1, 1440, 12, 31.4400000000
serial_transpose, 1, 1440, 12, 13.5100000000
serial_random_line, 1, 1440, 12, 31.8100000000
serial_square_transpose, 1, 1440, 12, 13.4600000000
serial, 1, 1440, 13, 31.7500000000
serial_transpose, 1, 1440, 13, 13.5100000000
serial_random_line, 1, 1440, 13, 31.6200000000
serial_square_transpose, 1, 1440, 13, 13.4700000000
serial, 1, 1440, 14, 31.4500000000
serial_transpose, 1, 1440, 14, 13.5000000000
serial_random_line, 1, 1440, 14, 31.4900000000
serial_square_transpose, 1, 1440, 14, 13.4700000000
serial, 1, 1440, 15, 29.4600000000
serial_transpose, 1, 1440, 15, 13.5100000000
serial_random_line, 1, 1440, 15, 21.8000000000
serial_square_transpose, 1, 1440, 15, 13.4600000000
serial, 1, 1600, 1, 43.7300000000
serial_transpose, 1, 1600, 1, 18.5100000000
serial_random_line, 1, 1600, 1, 44.6200000000
serial_square_transpose, 1, 1600, 1, 18.4800000000
serial, 1, 1600, 2, 44.2500000000
serial_transpose, 1, 1600, 2, 18.5800000000
serial_random_line, 1, 1600, 2, 44.4100000000
serial_square_transpose, 1, 1600, 2, 18.5800000000
serial, 1, 1600, 3, 31.2300000000
serial_transpose, 1, 1600, 3, 18.5100000000
serial_random_line, 1, 1600, 3, 44.0100000000
serial_square_transpose, 1, 1600, 3, 18.4500000000
serial, 1, 1600, 4, 44.2100000000
serial_transpose, 1, 1600, 4, 18.5000000000
serial_random_line, 1, 1600, 4, 45.1000000000
serial_square_transpose, 1, 1600, 4, 18.4700000000
serial, 1, 1600, 5, 43.9600000000
serial_transpose, 1, 1600, 5, 18.5000000000
serial_random_line, 1, 1600, 5, 44.1700000000
serial_square_transpose, 1, 1600, 5, 18.4700000000
serial, 1, 1600, 6, 44.4400000000
serial_transpose, 1, 1600, 6, 18.5100000000
serial_random_line, 1, 1600, 6, 44.0900000000
serial_square_transpose, 1, 1600, 6, 18.4600000000
serial, 1, 1600, 7, 45.0000000000
serial_transpose, 1, 1600, 7, 18.5100000000
serial_random_line, 1, 1600, 7, 44.7200000000
serial_square_transpose, 1, 1600, 7, 18.4600000000
serial, 1, 1600, 8, 44.1200000000
serial_transpose, 1, 1600, 8, 18.5000000000
serial_random_line, 1, 1600, 8, 44.2600000000
serial_square_transpose, 1, 1600, 8, 18.4600000000
serial, 1, 1600, 9, 44.5000000000
serial_transpose, 1, 1600, 9, 18.5600000000
serial_random_line, 1, 1600, 9, 31.4000000000
serial_square_transpose, 1, 1600, 9, 18.5500000000
serial, 1, 1600, 10, 30.7300000000
serial_transpose, 1, 1600, 10, 18.6100000000
serial_random_line, 1, 1600, 10, 30.0600000000
serial_square_transpose, 1, 1600, 10, 18.5200000000
serial, 1, 1600, 11, 43.9300000000
serial_transpose, 1, 1600, 11, 18.5000000000
serial_random_line, 1, 1600, 11, 44.1100000000
serial_square_transpose, 1, 1600, 11, 18.4600000000
serial, 1, 1600, 12, 44.2400000000
serial_transpose, 1, 1600, 12, 18.5100000000
serial_random_line, 1, 1600, 12, 46.0100000000
serial_square_transpose, 1, 1600, 12, 18.5500000000
serial, 1, 1600, 13, 45.4500000000
serial_transpose, 1, 1600, 13, 18.5000000000
serial_random_line, 1, 1600, 13, 44.2800000000
serial_square_transpose, 1, 1600, 13, 18.4600000000
serial, 1, 1600, 14, 43.9900000000
serial_transpose, 1, 1600, 14, 18.4900000000
serial_random_line, 1, 1600, 14, 44.7500000000
serial_square_transpose, 1, 1600, 14, 18.5400000000
serial, 1, 1600, 15, 32.9400000000
serial_transpose, 1, 1600, 15, 18.5900000000
serial_random_line, 1, 1600, 15, 31.2700000000
serial_square_transpose, 1, 1600, 15, 18.5900000000
serial, 1, 1760, 1, 39.0900000000
serial_transpose, 1, 1760, 1, 24.6800000000
serial_random_line, 1, 1760, 1, 40.4000000000
serial_square_transpose, 1, 1760, 1, 24.5800000000
