program,cores,problem_size,trial,execution_time
parallel, 16, 1440, 1, 2.1094652030
parallel_transpose, 16, 1440, 1, 0.9661725670
parallel_square_transpose, 16, 1440, 1, 0.9502137340
parallel, 32, 1440, 1, 1.1080331160
parallel_transpose, 32, 1440, 1, 0.5310305540
parallel_square_transpose, 32, 1440, 1, 0.5161303000
parallel, 16, 1440, 2, 2.1082328220
parallel_transpose, 16, 1440, 2, 0.9650527840
parallel_square_transpose, 16, 1440, 2, 0.9556996730
parallel, 32, 1440, 2, 1.1114018350
parallel_transpose, 32, 1440, 2, 0.5216362010
parallel_square_transpose, 32, 1440, 2, 0.5128368040
parallel, 16, 1440, 3, 2.0947617330
parallel_transpose, 16, 1440, 3, 0.9656104600
parallel_square_transpose, 16, 1440, 3, 0.9576477560
parallel, 32, 1440, 3, 1.0981223710
parallel_transpose, 32, 1440, 3, 0.5216811470
parallel_square_transpose, 32, 1440, 3, 0.5163084680
parallel, 16, 1440, 4, 1.9944891720
parallel_transpose, 16, 1440, 4, 0.9575049410
parallel_square_transpose, 16, 1440, 4, 0.9580146310
parallel, 32, 1440, 4, 1.1010364840
parallel_transpose, 32, 1440, 4, 0.5301599700
parallel_square_transpose, 32, 1440, 4, 0.5205245840
parallel, 16, 1440, 5, 2.0809153110
parallel_transpose, 16, 1440, 5, 0.9665375850
parallel_square_transpose, 16, 1440, 5, 0.9574729070
parallel, 32, 1440, 5, 1.0949117640
parallel_transpose, 32, 1440, 5, 0.5211036020
parallel_square_transpose, 32, 1440, 5, 0.5171507560
parallel, 16, 1440, 6, 2.0892782230
parallel_transpose, 16, 1440, 6, 0.9650471770
parallel_square_transpose, 16, 1440, 6, 0.9576037910
parallel, 32, 1440, 6, 1.1314359980
parallel_transpose, 32, 1440, 6, 0.5210976200
parallel_square_transpose, 32, 1440, 6, 0.5169549320
parallel, 16, 1440, 7, 2.0905978890
parallel_transpose, 16, 1440, 7, 0.9605897650
parallel_square_transpose, 16, 1440, 7, 0.9574499780
parallel, 32, 1440, 7, 1.1125895590
parallel_transpose, 32, 1440, 7, 0.5311854590
parallel_square_transpose, 32, 1440, 7, 0.5121211920
parallel, 16, 1440, 8, 2.0951335290
parallel_transpose, 16, 1440, 8, 0.9640353960
parallel_square_transpose, 16, 1440, 8, 0.9570365700
parallel, 32, 1440, 8, 1.1027655510
parallel_transpose, 32, 1440, 8, 0.5314269510
parallel_square_transpose, 32, 1440, 8, 0.5133607300
parallel, 16, 1440, 9, 2.1030035750
parallel_transpose, 16, 1440, 9, 0.9660908480
parallel_square_transpose, 16, 1440, 9, 0.9500180060
parallel, 32, 1440, 9, 1.1058759610
parallel_transpose, 32, 1440, 9, 0.5307549650
parallel_square_transpose, 32, 1440, 9, 0.5118974440
parallel, 16, 1440, 10, 2.0868152930
parallel_transpose, 16, 1440, 10, 0.9484555070
parallel_square_transpose, 16, 1440, 10, 0.9514549060
parallel, 32, 1440, 10, 1.0856069830
parallel_transpose, 32, 1440, 10, 0.5296072080
parallel_square_transpose, 32, 1440, 10, 0.5195350830
