program,cores,problem_size,trial,execution_time
parallel, 16, 1440, 1, 2.0184418860
parallel_transpose, 16, 1440, 1, 0.9526584380
parallel_square_transpose, 16, 1440, 1, 0.9535164700
parallel, 32, 1440, 1, 1.0953141890
parallel_transpose, 32, 1440, 1, 0.5277610550
parallel_square_transpose, 32, 1440, 1, 0.5205602680
parallel, 16, 1440, 2, 2.0205349870
parallel_transpose, 16, 1440, 2, 0.9618106290
parallel_square_transpose, 16, 1440, 2, 0.9555840410
parallel, 32, 1440, 2, 1.1037540020
parallel_transpose, 32, 1440, 2, 0.5285556370
parallel_square_transpose, 32, 1440, 2, 0.5215231220
parallel, 16, 1440, 3, 2.0897320440
parallel_transpose, 16, 1440, 3, 0.9636934590
parallel_square_transpose, 16, 1440, 3, 0.9269843360
parallel, 32, 1440, 3, 1.0946376610
parallel_transpose, 32, 1440, 3, 0.5281348370
parallel_square_transpose, 32, 1440, 3, 0.5153544920
parallel, 16, 1440, 4, 2.0074810200
parallel_transpose, 16, 1440, 4, 0.9528434210
parallel_square_transpose, 16, 1440, 4, 0.9555687850
parallel, 32, 1440, 4, 1.0931672990
parallel_transpose, 32, 1440, 4, 0.5283430170
parallel_square_transpose, 32, 1440, 4, 0.5199991510
parallel, 16, 1440, 5, 2.1467295010
parallel_transpose, 16, 1440, 5, 0.9486586530
parallel_square_transpose, 16, 1440, 5, 0.9484694900
parallel, 32, 1440, 5, 1.1411409900
parallel_transpose, 32, 1440, 5, 0.5187215510
parallel_square_transpose, 32, 1440, 5, 0.5116635740
parallel, 16, 1440, 6, 2.0801788890
parallel_transpose, 16, 1440, 6, 0.9526604140
parallel_square_transpose, 16, 1440, 6, 0.9453341560
parallel, 32, 1440, 6, 1.0733916280
parallel_transpose, 32, 1440, 6, 0.5214650190
parallel_square_transpose, 32, 1440, 6, 0.5080179960
parallel, 16, 1440, 7, 2.1002538910
parallel_transpose, 16, 1440, 7, 0.9464209800
parallel_square_transpose, 16, 1440, 7, 0.9467678230
parallel, 32, 1440, 7, 1.1580417700
parallel_transpose, 32, 1440, 7, 0.5308128660
parallel_square_transpose, 32, 1440, 7, 0.5147396640
parallel, 16, 1440, 8, 2.0930442340
parallel_transpose, 16, 1440, 8, 0.9545139030
parallel_square_transpose, 16, 1440, 8, 0.9540185290
parallel, 32, 1440, 8, 1.1018178330
parallel_transpose, 32, 1440, 8, 0.5300993540
parallel_square_transpose, 32, 1440, 8, 0.5030064050
parallel, 16, 1440, 9, 2.0738530750
parallel_transpose, 16, 1440, 9, 0.9535265900
parallel_square_transpose, 16, 1440, 9, 0.9392980170
parallel, 32, 1440, 9, 1.5464569430
parallel_transpose, 32, 1440, 9, 0.5305625270
parallel_square_transpose, 32, 1440, 9, 0.5114887880
parallel, 16, 1440, 10, 2.0950456860
parallel_transpose, 16, 1440, 10, 0.9358419700
parallel_square_transpose, 16, 1440, 10, 0.9539309150
parallel, 32, 1440, 10, 1.0935134300
parallel_transpose, 32, 1440, 10, 0.5289042960
parallel_square_transpose, 32, 1440, 10, 0.5081280180
parallel, 16, 1440, 11, 2.0802019230
parallel_transpose, 16, 1440, 11, 0.9391307890
parallel_square_transpose, 16, 1440, 11, 0.9501779330
parallel, 32, 1440, 11, 1.1013758290
parallel_transpose, 32, 1440, 11, 0.5285918290
parallel_square_transpose, 32, 1440, 11, 0.5114591470
parallel, 16, 1440, 12, 2.1585643120
parallel_transpose, 16, 1440, 12, 0.9497460990
parallel_square_transpose, 16, 1440, 12, 0.9483096860
parallel, 32, 1440, 12, 1.1001760920
parallel_transpose, 32, 1440, 12, 0.6107937710
parallel_square_transpose, 32, 1440, 12, 0.5112449060
parallel, 16, 1440, 13, 2.1065862080
parallel_transpose, 16, 1440, 13, 0.9618714140
parallel_square_transpose, 16, 1440, 13, 0.9578235460
parallel, 32, 1440, 13, 1.0949264100
parallel_transpose, 32, 1440, 13, 0.5181434180
parallel_square_transpose, 32, 1440, 13, 0.5150718900
parallel, 16, 1440, 14, 2.1107906050
parallel_transpose, 16, 1440, 14, 0.9533547820
parallel_square_transpose, 16, 1440, 14, 0.9554810460
parallel, 32, 1440, 14, 1.1324067880
parallel_transpose, 32, 1440, 14, 0.5729890870
parallel_square_transpose, 32, 1440, 14, 0.5145357840
parallel, 16, 1440, 15, 2.0928101640
parallel_transpose, 16, 1440, 15, 0.9535072360
parallel_square_transpose, 16, 1440, 15, 0.9552065500
parallel, 32, 1440, 15, 1.1074017420
parallel_transpose, 32, 1440, 15, 0.5233440160
parallel_square_transpose, 32, 1440, 15, 0.5112425570
parallel, 16, 1600, 1, 2.9299370190
parallel_transpose, 16, 1600, 1, 1.2907240120
parallel_square_transpose, 16, 1600, 1, 1.2919543150
parallel, 32, 1600, 1, 1.5070999650
parallel_transpose, 32, 1600, 1, 0.6986738420
parallel_square_transpose, 32, 1600, 1, 0.6922407520
parallel, 16, 1600, 2, 2.9172372540
parallel_transpose, 16, 1600, 2, 1.2658637690
parallel_square_transpose, 16, 1600, 2, 1.2690592950
parallel, 32, 1600, 2, 1.5402415010
parallel_transpose, 32, 1600, 2, 0.7027081590
parallel_square_transpose, 32, 1600, 2, 0.7001986140
parallel, 16, 1600, 3, 2.9296540370
parallel_transpose, 16, 1600, 3, 1.2676343060
parallel_square_transpose, 16, 1600, 3, 1.2710151990
parallel, 32, 1600, 3, 1.9805658320
parallel_transpose, 32, 1600, 3, 0.7030541020
parallel_square_transpose, 32, 1600, 3, 0.7017142790
parallel, 16, 1600, 4, 2.9178275360
parallel_transpose, 16, 1600, 4, 1.2799193240
parallel_square_transpose, 16, 1600, 4, 1.2882380360
parallel, 32, 1600, 4, 1.5303324210
parallel_transpose, 32, 1600, 4, 0.7104855830
parallel_square_transpose, 32, 1600, 4, 0.7002190830
parallel, 16, 1600, 5, 2.9145125250
parallel_transpose, 16, 1600, 5, 1.3044271390
parallel_square_transpose, 16, 1600, 5, 1.3004264610
parallel, 32, 1600, 5, 1.5200773040
parallel_transpose, 32, 1600, 5, 0.7066116520
parallel_square_transpose, 32, 1600, 5, 0.6914062700
parallel, 16, 1600, 6, 2.8966943630
parallel_transpose, 16, 1600, 6, 1.3005142360
parallel_square_transpose, 16, 1600, 6, 1.2666164470
parallel, 32, 1600, 6, 1.5147137250
parallel_transpose, 32, 1600, 6, 0.7177583590
parallel_square_transpose, 32, 1600, 6, 0.6958620150
parallel, 16, 1600, 7, 2.8987679890
parallel_transpose, 16, 1600, 7, 1.3094347490
parallel_square_transpose, 16, 1600, 7, 1.2995871910
parallel, 32, 1600, 7, 1.5200518640
parallel_transpose, 32, 1600, 7, 0.7243879470
parallel_square_transpose, 32, 1600, 7, 0.6963149110
parallel, 16, 1600, 8, 2.9344817260
parallel_transpose, 16, 1600, 8, 1.3092612870
parallel_square_transpose, 16, 1600, 8, 1.2984777390
parallel, 32, 1600, 8, 1.5411311870
parallel_transpose, 32, 1600, 8, 0.6936188260
parallel_square_transpose, 32, 1600, 8, 0.6915610440
parallel, 16, 1600, 9, 2.9450052310
parallel_transpose, 16, 1600, 9, 1.2983874400
parallel_square_transpose, 16, 1600, 9, 1.2946235190
parallel, 32, 1600, 9, 1.5291058270
parallel_transpose, 32, 1600, 9, 0.6874607000
parallel_square_transpose, 32, 1600, 9, 0.6914284240
parallel, 16, 1600, 10, 2.9447801600
parallel_transpose, 16, 1600, 10, 1.3099518100
parallel_square_transpose, 16, 1600, 10, 1.2952322780
parallel, 32, 1600, 10, 2.0307343340
parallel_transpose, 32, 1600, 10, 0.7106860920
parallel_square_transpose, 32, 1600, 10, 0.6985948190
parallel, 16, 1600, 11, 2.9542370460
parallel_transpose, 16, 1600, 11, 1.3021399360
parallel_square_transpose, 16, 1600, 11, 1.3025082330
parallel, 32, 1600, 11, 1.5253790900
parallel_transpose, 32, 1600, 11, 0.7063219620
parallel_square_transpose, 32, 1600, 11, 0.6905621150
parallel, 16, 1600, 12, 2.9117709800
parallel_transpose, 16, 1600, 12, 1.3026822480
parallel_square_transpose, 16, 1600, 12, 1.3014013090
parallel, 32, 1600, 12, 1.5368310700
parallel_transpose, 32, 1600, 12, 0.7058993860
parallel_square_transpose, 32, 1600, 12, 0.6911332880
parallel, 16, 1600, 13, 2.9600033860
parallel_transpose, 16, 1600, 13, 1.2774900380
parallel_square_transpose, 16, 1600, 13, 1.2839161610
parallel, 32, 1600, 13, 1.5293294280
parallel_transpose, 32, 1600, 13, 0.7114358830
parallel_square_transpose, 32, 1600, 13, 0.6932034970
parallel, 16, 1600, 14, 2.9443364640
