program,cores,problem_size,trial,execution_time
serial, 1, 1440, 1, 32.0200000000
serial_transpose, 1, 1440, 1, 13.4900000000
serial_random_line, 1, 1440, 1, 31.7000000000
serial_square_transpose, 1, 1440, 1, 14.3100000000
serial, 1, 1440, 2, 32.5800000000
serial_transpose, 1, 1440, 2, 14.1200000000
serial_random_line, 1, 1440, 2, 31.6900000000
serial_square_transpose, 1, 1440, 2, 13.4700000000
serial, 1, 1440, 3, 34.1600000000
serial_transpose, 1, 1440, 3, 13.5200000000
serial_random_line, 1, 1440, 3, 32.6400000000
serial_square_transpose, 1, 1440, 3, 13.6100000000
serial, 1, 1440, 4, 32.2100000000
serial_transpose, 1, 1440, 4, 14.5300000000
serial_random_line, 1, 1440, 4, 31.7300000000
serial_square_transpose, 1, 1440, 4, 13.4600000000
serial, 1, 1440, 5, 31.9800000000
serial_transpose, 1, 1440, 5, 13.5900000000
serial_random_line, 1, 1440, 5, 32.0000000000
serial_square_transpose, 1, 1440, 5, 13.4600000000
serial, 1, 1440, 6, 32.0600000000
serial_transpose, 1, 1440, 6, 13.4900000000
serial_random_line, 1, 1440, 6, 33.1500000000
serial_square_transpose, 1, 1440, 6, 13.4700000000
serial, 1, 1440, 7, 32.1400000000
serial_transpose, 1, 1440, 7, 13.4900000000
serial_random_line, 1, 1440, 7, 32.8500000000
serial_square_transpose, 1, 1440, 7, 13.5300000000
serial, 1, 1440, 8, 33.1300000000
serial_transpose, 1, 1440, 8, 13.4900000000
serial_random_line, 1, 1440, 8, 32.3400000000
serial_square_transpose, 1, 1440, 8, 13.8200000000
serial, 1, 1440, 9, 33.7800000000
serial_transpose, 1, 1440, 9, 17.8000000000
serial_random_line, 1, 1440, 9, 32.8900000000
serial_square_transpose, 1, 1440, 9, 20.5000000000
serial, 1, 1440, 10, 31.8900000000
serial_transpose, 1, 1440, 10, 13.5000000000
serial_random_line, 1, 1440, 10, 33.2600000000
serial_square_transpose, 1, 1440, 10, 13.4500000000
serial, 1, 1440, 11, 32.2400000000
serial_transpose, 1, 1440, 11, 14.5100000000
serial_random_line, 1, 1440, 11, 33.1400000000
serial_square_transpose, 1, 1440, 11, 13.4600000000
serial, 1, 1440, 12, 32.4200000000
serial_transpose, 1, 1440, 12, 13.4900000000
serial_random_line, 1, 1440, 12, 32.0500000000
serial_square_transpose, 1, 1440, 12, 14.1000000000
serial, 1, 1440, 13, 32.1500000000
serial_transpose, 1, 1440, 13, 13.5000000000
serial_random_line, 1, 1440, 13, 32.1500000000
serial_square_transpose, 1, 1440, 13, 13.4700000000
serial, 1, 1440, 14, 31.8500000000
serial_transpose, 1, 1440, 14, 13.9800000000
serial_random_line, 1, 1440, 14, 31.9800000000
serial_square_transpose, 1, 1440, 14, 14.6400000000
serial, 1, 1440, 15, 32.7500000000
serial_transpose, 1, 1440, 15, 13.5200000000
serial_random_line, 1, 1440, 15, 31.8400000000
serial_square_transpose, 1, 1440, 15, 13.4700000000
serial, 1, 1600, 1, 47.5800000000
serial_transpose, 1, 1600, 1, 19.1500000000
serial_random_line, 1, 1600, 1, 47.1900000000
serial_square_transpose, 1, 1600, 1, 18.4700000000
serial, 1, 1600, 2, 46.6800000000
serial_transpose, 1, 1600, 2, 18.5200000000
serial_random_line, 1, 1600, 2, 46.8800000000
serial_square_transpose, 1, 1600, 2, 18.5500000000
serial, 1, 1600, 3, 46.4600000000
serial_transpose, 1, 1600, 3, 18.5200000000
serial_random_line, 1, 1600, 3, 47.8200000000
serial_square_transpose, 1, 1600, 3, 18.6700000000
serial, 1, 1600, 4, 50.0000000000
serial_transpose, 1, 1600, 4, 18.6400000000
serial_random_line, 1, 1600, 4, 48.1400000000
serial_square_transpose, 1, 1600, 4, 18.4700000000
serial, 1, 1600, 5, 48.1500000000
serial_transpose, 1, 1600, 5, 18.4900000000
serial_random_line, 1, 1600, 5, 49.0400000000
serial_square_transpose, 1, 1600, 5, 21.9900000000
serial, 1, 1600, 6, 46.2900000000
serial_transpose, 1, 1600, 6, 18.5400000000
serial_random_line, 1, 1600, 6, 48.2400000000
serial_square_transpose, 1, 1600, 6, 18.4800000000
serial, 1, 1600, 7, 47.2800000000
serial_transpose, 1, 1600, 7, 18.5100000000
serial_random_line, 1, 1600, 7, 47.2700000000
serial_square_transpose, 1, 1600, 7, 18.4900000000
serial, 1, 1600, 8, 46.9500000000
serial_transpose, 1, 1600, 8, 18.5400000000
serial_random_line, 1, 1600, 8, 47.8500000000
serial_square_transpose, 1, 1600, 8, 18.8100000000
serial, 1, 1600, 9, 46.9700000000
serial_transpose, 1, 1600, 9, 18.7100000000
serial_random_line, 1, 1600, 9, 46.9700000000
serial_square_transpose, 1, 1600, 9, 18.4800000000
