program,cores,problem_size,trial,execution_time
parallel,16,1440,1, 2.0965797410
parallel_transpose,16,1440,1, 0.9542744000
parallel_square_transpose,16,1440,1, 0.9485114520
parallel,32,1440,1, 1.1100517840
parallel_transpose,32,1440,1, 0.5198246170
parallel_square_transpose,32,1440,1, 0.5130364030
parallel,16,1440,2, 2.1114434370
parallel_transpose,16,1440,2, 0.9561428960
parallel_square_transpose,16,1440,2, 0.9538138790
parallel,32,1440,2, 1.0785858510
parallel_transpose,32,1440,2, 0.5299650680
parallel_square_transpose,32,1440,2, 0.5211442270
parallel,16,1440,3, 2.0704001980
parallel_transpose,16,1440,3, 0.9652075850
parallel_square_transpose,16,1440,3, 0.9581274320
parallel,32,1440,3, 1.0946714240
parallel_transpose,32,1440,3, 0.5285684350
parallel_square_transpose,32,1440,3, 0.5199213730
parallel,16,1440,4, 2.0932514450
parallel_transpose,16,1440,4, 0.9636464340
parallel_square_transpose,16,1440,4, 0.9560620910
parallel,32,1440,4, 1.1429455730
parallel_transpose,32,1440,4, 0.5287692250
parallel_square_transpose,32,1440,4, 0.5138881540
parallel,16,1440,5, 2.1002926200
parallel_transpose,16,1440,5, 0.9659283340
parallel_square_transpose,16,1440,5, 0.9561576870
parallel,32,1440,5, 1.4739242130
parallel_transpose,32,1440,5, 0.8557457670
parallel_square_transpose,32,1440,5, 0.5156846790
parallel,16,1440,6, 2.0631848030
parallel_transpose,16,1440,6, 0.9550385090
parallel_square_transpose,16,1440,6, 0.9522837940
parallel,32,1440,6, 1.3714520330
parallel_transpose,32,1440,6, 0.5300298950
parallel_square_transpose,32,1440,6, 0.5189295820
parallel,16,1440,7, 2.0892527060
parallel_transpose,16,1440,7, 0.9648373360
parallel_square_transpose,16,1440,7, 0.9479721450
parallel,32,1440,7, 1.0934419570
parallel_transpose,32,1440,7, 0.5228695690
parallel_square_transpose,32,1440,7, 0.5136487430
parallel,16,1440,8, 2.0701106490
parallel_transpose,16,1440,8, 0.9433306360
parallel_square_transpose,16,1440,8, 0.9491729480
parallel,32,1440,8, 1.1094562570
parallel_transpose,32,1440,8, 0.5257945960
parallel_square_transpose,32,1440,8, 0.5186562730
parallel,16,1440,9, 2.1140536170
parallel_transpose,16,1440,9, 0.9644594800
parallel_square_transpose,16,1440,9, 0.9538080720
parallel,32,1440,9, 1.1021755960
parallel_transpose,32,1440,9, 0.5264463950
parallel_square_transpose,32,1440,9, 0.5113553810
parallel,16,1440,10, 2.0643004970
parallel_transpose,16,1440,10, 0.9644626430
parallel_square_transpose,16,1440,10, 0.9585912340
parallel,32,1440,10, 1.0937598210
parallel_transpose,32,1440,10, 0.5291887930
parallel_square_transpose,32,1440,10, 0.5194345230
parallel,16,1600,1, 2.9464357440
parallel_transpose,16,1600,1, 1.3053708500
parallel_square_transpose,16,1600,1, 1.2981536450
parallel,32,1600,1, 2.1177552990
parallel_transpose,32,1600,1, 0.7094310470
parallel_square_transpose,32,1600,1, 0.6970137400
parallel,16,1600,2, 2.9216952770
parallel_transpose,16,1600,2, 1.3074300880
parallel_square_transpose,16,1600,2, 1.2909193170
parallel,32,1600,2, 1.5062694930
parallel_transpose,32,1600,2, 0.7058702610
parallel_square_transpose,32,1600,2, 0.6984484230
parallel,16,1600,3, 2.9015765990
parallel_transpose,16,1600,3, 1.3114304860
parallel_square_transpose,16,1600,3, 1.2924220120
parallel,32,1600,3, 1.5600001980
parallel_transpose,32,1600,3, 0.7118036230
parallel_square_transpose,32,1600,3, 0.7007755930
parallel,16,1600,4, 2.9310448550
parallel_transpose,16,1600,4, 1.3103050700
parallel_square_transpose,16,1600,4, 1.2656415010
parallel,32,1600,4, 1.5655659760
parallel_transpose,32,1600,4, 0.7116529220
parallel_square_transpose,32,1600,4, 0.6906638190
parallel,16,1600,5, 2.9023883530
parallel_transpose,16,1600,5, 1.3061103740
parallel_square_transpose,16,1600,5, 1.3002695450
parallel,32,1600,5, 2.1391265460
parallel_transpose,32,1600,5, 0.7169770140
parallel_square_transpose,32,1600,5, 0.7012879310
parallel,16,1600,6, 2.9374099960
parallel_transpose,16,1600,6, 1.3070293370
parallel_square_transpose,16,1600,6, 1.2909805750
parallel,32,1600,6, 1.5373419590
parallel_transpose,32,1600,6, 0.7078058820
parallel_square_transpose,32,1600,6, 0.6947972970
parallel,16,1600,7, 2.9249131510
parallel_transpose,16,1600,7, 1.3089219830
parallel_square_transpose,16,1600,7, 1.2987811670
parallel,32,1600,7, 1.5102817730
parallel_transpose,32,1600,7, 0.7112493710
parallel_square_transpose,32,1600,7, 0.6978220590
parallel,16,1600,8, 2.9285296790
parallel_transpose,16,1600,8, 1.3095531830
parallel_square_transpose,16,1600,8, 1.2980306360
parallel,32,1600,8, 1.9963646240
parallel_transpose,32,1600,8, 0.7063197680
parallel_square_transpose,32,1600,8, 0.6962994270
parallel,16,1600,9, 2.9784952560
parallel_transpose,16,1600,9, 1.2993736570
parallel_square_transpose,16,1600,9, 1.2968852720
parallel,32,1600,9, 1.5376144760
parallel_transpose,32,1600,9, 0.7203421690
parallel_square_transpose,32,1600,9, 0.6956501540
parallel,16,1600,10, 2.9125520070
parallel_transpose,16,1600,10, 1.3066822570
parallel_square_transpose,16,1600,10, 1.2731252310
parallel,32,1600,10, 1.5451776180
parallel_transpose,32,1600,10, 0.7106433980
parallel_square_transpose,32,1600,10, 0.7008430150
parallel,16,1760,1, 3.9595232970
parallel_transpose,16,1760,1, 1.7249713760
parallel_square_transpose,16,1760,1, 1.7034137680
parallel,32,1760,1, 3.2254689570
parallel_transpose,32,1760,1, 0.9195587310
parallel_square_transpose,32,1760,1, 0.9170148790
parallel,16,1760,2, 3.9742731750
parallel_transpose,16,1760,2, 1.7158849570
parallel_square_transpose,16,1760,2, 1.7174343490
parallel,32,1760,2, 2.0859831270
parallel_transpose,32,1760,2, 1.2725606190
parallel_square_transpose,32,1760,2, 0.9147597080
parallel,16,1760,3, 4.0008418000
parallel_transpose,16,1760,3, 1.7203626610
parallel_square_transpose,16,1760,3, 1.7128376330
parallel,32,1760,3, 2.0842085740
parallel_transpose,32,1760,3, 0.9246477040
parallel_square_transpose,32,1760,3, 0.9192279890
parallel,16,1760,4, 4.0343455820
parallel_transpose,16,1760,4, 1.7320603710
parallel_square_transpose,16,1760,4, 1.7135730390
parallel,32,1760,4, 2.0607326640
parallel_transpose,32,1760,4, 0.9280695950
parallel_square_transpose,32,1760,4, 0.9202298140
parallel,16,1760,5, 3.9734065110
parallel_transpose,16,1760,5, 1.7125410470
parallel_square_transpose,16,1760,5, 1.7138755380
parallel,32,1760,5, 2.0830305310
parallel_transpose,32,1760,5, 0.9252839880
parallel_square_transpose,32,1760,5, 0.9094169430
parallel,16,1760,6, 3.9611586350
parallel_transpose,16,1760,6, 1.7283638830
parallel_square_transpose,16,1760,6, 1.7092894210
parallel,32,1760,6, 2.0717587750
parallel_transpose,32,1760,6, 0.9284480220
parallel_square_transpose,32,1760,6, 0.9094802770
parallel,16,1760,7, 3.9652872160
parallel_transpose,16,1760,7, 1.7100840460
parallel_square_transpose,16,1760,7, 1.7096608640
parallel,32,1760,7, 2.0796944640
parallel_transpose,32,1760,7, 0.9335205350
parallel_square_transpose,32,1760,7, 0.9056291330
parallel,16,1760,8, 3.9442273290
parallel_transpose,16,1760,8, 1.7294147330
parallel_square_transpose,16,1760,8, 1.7043849800
parallel,32,1760,8, 2.0982950010
parallel_transpose,32,1760,8, 0.9325227860
parallel_square_transpose,32,1760,8, 0.9156916580
parallel,16,1760,9, 4.0110266330
parallel_transpose,16,1760,9, 1.7295881210
parallel_square_transpose,16,1760,9, 1.7122858210
parallel,32,1760,9, 2.1273981490
parallel_transpose,32,1760,9, 0.9198584040
parallel_square_transpose,32,1760,9, 0.9208950020
parallel,16,1760,10, 3.9579205590
parallel_transpose,16,1760,10, 1.7144340080
parallel_square_transpose,16,1760,10, 1.7020963170
parallel,32,1760,10, 3.2078011100
parallel_transpose,32,1760,10, 0.9283254640
parallel_square_transpose,32,1760,10, 0.9167120290
parallel,16,1920,1, 5.5040166710
