program,cores,problem_size,trial,execution_time
parallel, 16, 1440, 1, 2.1084909350
parallel_transpose, 16, 1440, 1, 0.9642116220
parallel_square_transpose, 16, 1440, 1, 0.9285232340
parallel, 32, 1440, 1, 1.1476598990
parallel_transpose, 32, 1440, 1, 0.5158949050
parallel_square_transpose, 32, 1440, 1, 0.5110902270
parallel, 16, 1440, 2, 2.0650509740
parallel_transpose, 16, 1440, 2, 0.9499206150
parallel_square_transpose, 16, 1440, 2, 0.9603908270
parallel, 32, 1440, 2, 1.0988130940
parallel_transpose, 32, 1440, 2, 0.5285568060
parallel_square_transpose, 32, 1440, 2, 0.5115851890
parallel, 16, 1440, 3, 2.1381807400
parallel_transpose, 16, 1440, 3, 0.9547033810
parallel_square_transpose, 16, 1440, 3, 0.9307220620
parallel, 32, 1440, 3, 1.0976797410
parallel_transpose, 32, 1440, 3, 0.5303788960
parallel_square_transpose, 32, 1440, 3, 0.5147132590
parallel, 16, 1440, 4, 1.9919166720
parallel_transpose, 16, 1440, 4, 0.9635593170
parallel_square_transpose, 16, 1440, 4, 0.9257076540
parallel, 32, 1440, 4, 1.0783352390
parallel_transpose, 32, 1440, 4, 0.5172087990
parallel_square_transpose, 32, 1440, 4, 0.6007818200
parallel, 16, 1440, 5, 2.1695852620
parallel_transpose, 16, 1440, 5, 0.9311400180
parallel_square_transpose, 16, 1440, 5, 0.9492047320
parallel, 32, 1440, 5, 1.0801430780
parallel_transpose, 32, 1440, 5, 0.5234868910
parallel_square_transpose, 32, 1440, 5, 0.5170237080
parallel, 16, 1440, 6, 2.0962892430
parallel_transpose, 16, 1440, 6, 0.9376423480
parallel_square_transpose, 16, 1440, 6, 0.9391696410
parallel, 32, 1440, 6, 1.1076177720
parallel_transpose, 32, 1440, 6, 0.5300314830
parallel_square_transpose, 32, 1440, 6, 0.5177618650
parallel, 16, 1440, 7, 2.0727734320
parallel_transpose, 16, 1440, 7, 0.9640087670
parallel_square_transpose, 16, 1440, 7, 0.9496435330
parallel, 32, 1440, 7, 1.1111752690
parallel_transpose, 32, 1440, 7, 0.5234925820
parallel_square_transpose, 32, 1440, 7, 0.5129875630
parallel, 16, 1440, 8, 2.1162723560
parallel_transpose, 16, 1440, 8, 0.9510766750
parallel_square_transpose, 16, 1440, 8, 0.9556434260
parallel, 32, 1440, 8, 1.0458319610
parallel_transpose, 32, 1440, 8, 0.5288822730
parallel_square_transpose, 32, 1440, 8, 0.5187388950
parallel, 16, 1440, 9, 2.1148475740
parallel_transpose, 16, 1440, 9, 0.9372595400
parallel_square_transpose, 16, 1440, 9, 0.9592787820
parallel, 32, 1440, 9, 1.1416995870
parallel_transpose, 32, 1440, 9, 0.5275656280
parallel_square_transpose, 32, 1440, 9, 0.5147502420
parallel, 16, 1440, 10, 2.0792492620
parallel_transpose, 16, 1440, 10, 0.9644901460
parallel_square_transpose, 16, 1440, 10, 0.9565284360
parallel, 32, 1440, 10, 1.0930495700
parallel_transpose, 32, 1440, 10, 0.5194002870
parallel_square_transpose, 32, 1440, 10, 0.5106480480
parallel, 16, 1440, 11, 2.0945158370
parallel_transpose, 16, 1440, 11, 0.9633261360
parallel_square_transpose, 16, 1440, 11, 0.9492564860
parallel, 32, 1440, 11, 1.0879442630
parallel_transpose, 32, 1440, 11, 0.5293975420
parallel_square_transpose, 32, 1440, 11, 0.5188297940
parallel, 16, 1440, 12, 2.0869814480
parallel_transpose, 16, 1440, 12, 0.9344167120
parallel_square_transpose, 16, 1440, 12, 0.9344158280
parallel, 32, 1440, 12, 1.0916469800
parallel_transpose, 32, 1440, 12, 0.5261337940
parallel_square_transpose, 32, 1440, 12, 0.5157835680
parallel, 16, 1440, 13, 2.0841521540
parallel_transpose, 16, 1440, 13, 0.9426480740
parallel_square_transpose, 16, 1440, 13, 0.9588028960
parallel, 32, 1440, 13, 1.3745124530
parallel_transpose, 32, 1440, 13, 0.5257396480
parallel_square_transpose, 32, 1440, 13, 0.5168546890
parallel, 16, 1440, 14, 2.1304376040
parallel_transpose, 16, 1440, 14, 0.9355302090
parallel_square_transpose, 16, 1440, 14, 0.9565923010
parallel, 32, 1440, 14, 1.1031500920
parallel_transpose, 32, 1440, 14, 0.5188578880
parallel_square_transpose, 32, 1440, 14, 0.5193655950
parallel, 16, 1440, 15, 2.1544505180
parallel_transpose, 16, 1440, 15, 0.9494334550
parallel_square_transpose, 16, 1440, 15, 0.9529316030
parallel, 32, 1440, 15, 1.0974353420
parallel_transpose, 32, 1440, 15, 0.5281934970
parallel_square_transpose, 32, 1440, 15, 0.5188579970
parallel, 16, 1600, 1, 2.9401775580
parallel_transpose, 16, 1600, 1, 1.3034345590
parallel_square_transpose, 16, 1600, 1, 1.2857011160
parallel, 32, 1600, 1, 1.5513731360
parallel_transpose, 32, 1600, 1, 0.7091638120
parallel_square_transpose, 32, 1600, 1, 0.6915676010
parallel, 16, 1600, 2, 2.9035858590
parallel_transpose, 16, 1600, 2, 1.2974191900
