program,cores,problem_size,trial,execution_time
parallel, 4, 1440, 1, 15.2576768080
parallel_transpose, 4, 1440, 1, 3.4622359820
parallel_square_transpose, 4, 1440, 1, 6.7745798700
parallel, 8, 1440, 1, 7.5944969980
parallel_transpose, 8, 1440, 1, 3.7250057680
parallel_square_transpose, 8, 1440, 1, 3.4273260490
parallel, 4, 1440, 2, 15.3730345540
parallel_transpose, 4, 1440, 2, 6.7781731430
parallel_square_transpose, 4, 1440, 2, 3.5181564700
parallel, 8, 1440, 2, 5.9873874870
parallel_transpose, 8, 1440, 2, 3.5914359460
parallel_square_transpose, 8, 1440, 2, 3.5390612130
parallel, 4, 1440, 3, 15.1606608050
parallel_transpose, 4, 1440, 3, 6.7758032540
parallel_square_transpose, 4, 1440, 3, 6.7672203480
parallel, 8, 1440, 3, 8.5538890620
parallel_transpose, 8, 1440, 3, 3.7107596620
parallel_square_transpose, 8, 1440, 3, 3.6515438590
parallel, 4, 1440, 4, 15.2335073630
parallel_transpose, 4, 1440, 4, 3.4517723610
parallel_square_transpose, 4, 1440, 4, 6.7776765320
parallel, 8, 1440, 4, 8.7096294260
parallel_transpose, 8, 1440, 4, 3.5029853970
parallel_square_transpose, 8, 1440, 4, 3.7163959870
parallel, 4, 1440, 5, 15.3353980040
parallel_transpose, 4, 1440, 5, 6.7800829860
parallel_square_transpose, 4, 1440, 5, 6.7701147250
parallel, 8, 1440, 5, 8.0219063690
parallel_transpose, 8, 1440, 5, 3.5016797120
parallel_square_transpose, 8, 1440, 5, 3.5980308400
parallel, 4, 1440, 6, 15.2597870210
parallel_transpose, 4, 1440, 6, 6.7756327510
parallel_square_transpose, 4, 1440, 6, 3.4639561780
parallel, 8, 1440, 6, 8.5714688940
parallel_transpose, 8, 1440, 6, 3.9645609880
parallel_square_transpose, 8, 1440, 6, 3.7506408780
parallel, 4, 1440, 7, 15.5110807100
parallel_transpose, 4, 1440, 7, 3.4594523480
parallel_square_transpose, 4, 1440, 7, 6.7698465680
parallel, 8, 1440, 7, 8.8991930960
parallel_transpose, 8, 1440, 7, 3.5146850070
parallel_square_transpose, 8, 1440, 7, 3.7589230660
parallel, 4, 1440, 8, 15.2403773490
parallel_transpose, 4, 1440, 8, 6.7747378170
parallel_square_transpose, 4, 1440, 8, 6.7665503450
parallel, 8, 1440, 8, 8.3120325390
parallel_transpose, 8, 1440, 8, 3.7366281560
parallel_square_transpose, 8, 1440, 8, 3.5251561690
parallel, 4, 1440, 9, 15.4582117750
parallel_transpose, 4, 1440, 9, 3.4820614640
parallel_square_transpose, 4, 1440, 9, 3.4691688360
parallel, 8, 1440, 9, 7.9470027770
parallel_transpose, 8, 1440, 9, 3.6920029120
parallel_square_transpose, 8, 1440, 9, 3.4878444180
parallel, 4, 1440, 10, 8.1325491780
parallel_transpose, 4, 1440, 10, 6.7803263670
parallel_square_transpose, 4, 1440, 10, 6.7667454370
parallel, 8, 1440, 10, 8.5856354440
parallel_transpose, 8, 1440, 10, 3.5809029500
parallel_square_transpose, 8, 1440, 10, 3.7914863470
