program,cores,problem_size,trial,execution_time
parallel, 4, 1440, 1, 8.0211934040
parallel_transpose, 4, 1440, 1, 3.5468897160
parallel_square_transpose, 4, 1440, 1, 3.4520515390
parallel, 8, 1440, 1, 4.0605991400
parallel_transpose, 8, 1440, 1, 1.7949557680
parallel_square_transpose, 8, 1440, 1, 1.7737154530
parallel, 16, 1440, 1, 2.1205044080
parallel_transpose, 16, 1440, 1, 0.9623738960
parallel_square_transpose, 16, 1440, 1, 0.9506419960
parallel, 32, 1440, 1, 1.1004088290
parallel_transpose, 32, 1440, 1, 0.5278440200
parallel_square_transpose, 32, 1440, 1, 0.5137953170
parallel, 4, 1440, 2, 8.1429001800
parallel_transpose, 4, 1440, 2, 3.5188292030
parallel_square_transpose, 4, 1440, 2, 3.4948810110
parallel, 8, 1440, 2, 3.9625143840
parallel_transpose, 8, 1440, 2, 1.7938245750
parallel_square_transpose, 8, 1440, 2, 1.8135555160
parallel, 16, 1440, 2, 2.0851037410
parallel_transpose, 16, 1440, 2, 0.9622880570
parallel_square_transpose, 16, 1440, 2, 0.9496444290
parallel, 32, 1440, 2, 1.1253103760
parallel_transpose, 32, 1440, 2, 0.5216275780
parallel_square_transpose, 32, 1440, 2, 0.5128583590
parallel, 4, 1440, 3, 7.6730081300
parallel_transpose, 4, 1440, 3, 3.5088862970
parallel_square_transpose, 4, 1440, 3, 3.4829463210
parallel, 8, 1440, 3, 4.0582584110
parallel_transpose, 8, 1440, 3, 1.8098001780
parallel_square_transpose, 8, 1440, 3, 1.7971696930
parallel, 16, 1440, 3, 2.0751411020
parallel_transpose, 16, 1440, 3, 0.9459742110
parallel_square_transpose, 16, 1440, 3, 0.9571143500
parallel, 32, 1440, 3, 1.0898846770
parallel_transpose, 32, 1440, 3, 0.5133899290
parallel_square_transpose, 32, 1440, 3, 0.5180262550
parallel, 4, 1440, 4, 7.7542656470
parallel_transpose, 4, 1440, 4, 3.4879831020
parallel_square_transpose, 4, 1440, 4, 3.4987917150
parallel, 8, 1440, 4, 4.0668852430
parallel_transpose, 8, 1440, 4, 1.8050307280
parallel_square_transpose, 8, 1440, 4, 1.8068696990
parallel, 16, 1440, 4, 2.0820820730
parallel_transpose, 16, 1440, 4, 0.9650488740
parallel_square_transpose, 16, 1440, 4, 0.9522183790
parallel, 32, 1440, 4, 1.0889067350
parallel_transpose, 32, 1440, 4, 0.5256887300
parallel_square_transpose, 32, 1440, 4, 0.5116040780
parallel, 4, 1440, 5, 8.0999442630
parallel_transpose, 4, 1440, 5, 3.4706398630
parallel_square_transpose, 4, 1440, 5, 3.4815228310
parallel, 8, 1440, 5, 4.0735711770
parallel_transpose, 8, 1440, 5, 1.7870134290
parallel_square_transpose, 8, 1440, 5, 1.8116502220
parallel, 16, 1440, 5, 2.0884481580
parallel_transpose, 16, 1440, 5, 0.9626871380
parallel_square_transpose, 16, 1440, 5, 0.9562129760
parallel, 32, 1440, 5, 1.0920956320
parallel_transpose, 32, 1440, 5, 0.5274955460
parallel_square_transpose, 32, 1440, 5, 0.5066782240
parallel, 4, 1440, 6, 7.5258517080
parallel_transpose, 4, 1440, 6, 3.5356817970
parallel_square_transpose, 4, 1440, 6, 3.4719740250
parallel, 8, 1440, 6, 3.8657556050
parallel_transpose, 8, 1440, 6, 1.8383751590
parallel_square_transpose, 8, 1440, 6, 1.8335147480
parallel, 16, 1440, 6, 1.9909052600
parallel_transpose, 16, 1440, 6, 0.9633152230
parallel_square_transpose, 16, 1440, 6, 0.9569320580
parallel, 32, 1440, 6, 1.3698392940
parallel_transpose, 32, 1440, 6, 0.5277491730
parallel_square_transpose, 32, 1440, 6, 0.5113108020
parallel, 4, 1440, 7, 7.8968094400
parallel_transpose, 4, 1440, 7, 3.4769149290
parallel_square_transpose, 4, 1440, 7, 3.4769207920
parallel, 8, 1440, 7, 4.1873971530
parallel_transpose, 8, 1440, 7, 1.8314806140
parallel_square_transpose, 8, 1440, 7, 1.8317546720
parallel, 16, 1440, 7, 1.9955789880
parallel_transpose, 16, 1440, 7, 0.9643235340
parallel_square_transpose, 16, 1440, 7, 0.9347197750
parallel, 32, 1440, 7, 1.0885343230
parallel_transpose, 32, 1440, 7, 0.5212068590
parallel_square_transpose, 32, 1440, 7, 0.5107517560
parallel, 4, 1440, 8, 8.0159227960
parallel_transpose, 4, 1440, 8, 3.5163749350
parallel_square_transpose, 4, 1440, 8, 3.5067381710
parallel, 8, 1440, 8, 4.0497323590
parallel_transpose, 8, 1440, 8, 1.7936254710
parallel_square_transpose, 8, 1440, 8, 1.8117966120
parallel, 16, 1440, 8, 2.0739064670
parallel_transpose, 16, 1440, 8, 0.9398360340
parallel_square_transpose, 16, 1440, 8, 0.9527670440
parallel, 32, 1440, 8, 1.1051357850
parallel_transpose, 32, 1440, 8, 0.5269455670
parallel_square_transpose, 32, 1440, 8, 0.5143691870
parallel, 4, 1440, 9, 7.7079992080
parallel_transpose, 4, 1440, 9, 3.4854493770
parallel_square_transpose, 4, 1440, 9, 3.4728584710
parallel, 8, 1440, 9, 3.9738840740
parallel_transpose, 8, 1440, 9, 1.7894343080
parallel_square_transpose, 8, 1440, 9, 1.7974203740
parallel, 16, 1440, 9, 2.0758179900
parallel_transpose, 16, 1440, 9, 0.9458384840
parallel_square_transpose, 16, 1440, 9, 0.9405948190
parallel, 32, 1440, 9, 1.0889836480
parallel_transpose, 32, 1440, 9, 0.5285857430
parallel_square_transpose, 32, 1440, 9, 0.5181447090
parallel, 4, 1440, 10, 7.7891136060
parallel_transpose, 4, 1440, 10, 3.5157290540
parallel_square_transpose, 4, 1440, 10, 3.5444672140
parallel, 8, 1440, 10, 4.0775856060
