program,cores,problem_size,trial,execution_time
serial, 1, 1440, 1, 31.9800000000
serial_transpose, 1, 1440, 1, 13.5400000000
serial_random_line, 1, 1440, 1, 23.6500000000
serial_square_transpose, 1, 1440, 1, 13.4800000000
serial, 1, 1440, 2, 32.0000000000
serial_transpose, 1, 1440, 2, 13.5200000000
serial_random_line, 1, 1440, 2, 25.0000000000
serial_square_transpose, 1, 1440, 2, 13.4800000000
serial, 1, 1440, 3, 25.5700000000
serial_transpose, 1, 1440, 3, 13.5500000000
serial_random_line, 1, 1440, 3, 24.5900000000
serial_square_transpose, 1, 1440, 3, 13.4800000000
serial, 1, 1440, 4, 31.4800000000
serial_transpose, 1, 1440, 4, 13.5100000000
serial_random_line, 1, 1440, 4, 24.2700000000
serial_square_transpose, 1, 1440, 4, 13.4800000000
serial, 1, 1440, 5, 31.9200000000
serial_transpose, 1, 1440, 5, 13.5100000000
serial_random_line, 1, 1440, 5, 33.0000000000
serial_square_transpose, 1, 1440, 5, 13.4700000000
serial, 1, 1440, 6, 24.8200000000
serial_transpose, 1, 1440, 6, 13.5200000000
serial_random_line, 1, 1440, 6, 24.0800000000
serial_square_transpose, 1, 1440, 6, 13.4800000000
serial, 1, 1440, 7, 32.4900000000
serial_transpose, 1, 1440, 7, 13.5200000000
serial_random_line, 1, 1440, 7, 31.6800000000
serial_square_transpose, 1, 1440, 7, 13.4800000000
serial, 1, 1440, 8, 21.8000000000
serial_transpose, 1, 1440, 8, 13.5300000000
serial_random_line, 1, 1440, 8, 31.7100000000
serial_square_transpose, 1, 1440, 8, 13.4800000000
serial, 1, 1440, 9, 31.2800000000
serial_transpose, 1, 1440, 9, 13.5100000000
serial_random_line, 1, 1440, 9, 24.1500000000
serial_square_transpose, 1, 1440, 9, 13.4800000000
serial, 1, 1440, 10, 31.9600000000
serial_transpose, 1, 1440, 10, 13.5100000000
serial_random_line, 1, 1440, 10, 24.3300000000
serial_square_transpose, 1, 1440, 10, 13.4800000000
serial, 1, 1440, 11, 32.0800000000
serial_transpose, 1, 1440, 11, 13.5200000000
serial_random_line, 1, 1440, 11, 24.6700000000
serial_square_transpose, 1, 1440, 11, 13.4800000000
serial, 1, 1440, 12, 31.9900000000
serial_transpose, 1, 1440, 12, 13.5200000000
serial_random_line, 1, 1440, 12, 24.8700000000
serial_square_transpose, 1, 1440, 12, 13.4800000000
serial, 1, 1440, 13, 32.0000000000
serial_transpose, 1, 1440, 13, 13.5200000000
serial_random_line, 1, 1440, 13, 31.6600000000
serial_square_transpose, 1, 1440, 13, 13.4800000000
serial, 1, 1440, 14, 23.0300000000
serial_transpose, 1, 1440, 14, 13.5200000000
serial_random_line, 1, 1440, 14, 31.8800000000
serial_square_transpose, 1, 1440, 14, 13.4900000000
serial, 1, 1440, 15, 25.5000000000
serial_transpose, 1, 1440, 15, 13.5200000000
serial_random_line, 1, 1440, 15, 25.2000000000
serial_square_transpose, 1, 1440, 15, 13.4800000000
serial, 1, 1600, 1, 32.6600000000
serial_transpose, 1, 1600, 1, 18.5200000000
serial_random_line, 1, 1600, 1, 31.8300000000
serial_square_transpose, 1, 1600, 1, 18.4700000000
serial, 1, 1600, 2, 31.3200000000
serial_transpose, 1, 1600, 2, 18.5200000000
serial_random_line, 1, 1600, 2, 30.4500000000
serial_square_transpose, 1, 1600, 2, 18.4700000000
serial, 1, 1600, 3, 30.8800000000
serial_transpose, 1, 1600, 3, 18.5200000000
serial_random_line, 1, 1600, 3, 38.5400000000
serial_square_transpose, 1, 1600, 3, 18.4700000000
serial, 1, 1600, 4, 38.2300000000
serial_transpose, 1, 1600, 4, 18.5600000000
serial_random_line, 1, 1600, 4, 40.4700000000
serial_square_transpose, 1, 1600, 4, 18.4800000000
serial, 1, 1600, 5, 31.9600000000
serial_transpose, 1, 1600, 5, 18.5200000000
serial_random_line, 1, 1600, 5, 35.7900000000
serial_square_transpose, 1, 1600, 5, 18.4700000000
serial, 1, 1600, 6, 32.4500000000
serial_transpose, 1, 1600, 6, 18.5200000000
serial_random_line, 1, 1600, 6, 31.3600000000
serial_square_transpose, 1, 1600, 6, 18.4800000000
serial, 1, 1600, 7, 31.3300000000
serial_transpose, 1, 1600, 7, 18.5200000000
serial_random_line, 1, 1600, 7, 30.3600000000
serial_square_transpose, 1, 1600, 7, 18.4700000000
serial, 1, 1600, 8, 33.7700000000
serial_transpose, 1, 1600, 8, 18.5300000000
serial_random_line, 1, 1600, 8, 30.9400000000
serial_square_transpose, 1, 1600, 8, 18.4700000000
serial, 1, 1600, 9, 38.9100000000
serial_transpose, 1, 1600, 9, 18.5200000000
serial_random_line, 1, 1600, 9, 38.9600000000
serial_square_transpose, 1, 1600, 9, 18.4700000000
serial, 1, 1600, 10, 37.9700000000
serial_transpose, 1, 1600, 10, 18.5200000000
serial_random_line, 1, 1600, 10, 38.2400000000
serial_square_transpose, 1, 1600, 10, 18.4700000000
serial, 1, 1600, 11, 29.6500000000
serial_transpose, 1, 1600, 11, 18.5200000000
serial_random_line, 1, 1600, 11, 39.5500000000
serial_square_transpose, 1, 1600, 11, 18.4700000000
serial, 1, 1600, 12, 34.0200000000
serial_transpose, 1, 1600, 12, 18.5200000000
serial_random_line, 1, 1600, 12, 38.1500000000
serial_square_transpose, 1, 1600, 12, 18.4800000000
serial, 1, 1600, 13, 46.2300000000
serial_transpose, 1, 1600, 13, 18.5300000000
serial_random_line, 1, 1600, 13, 30.4700000000
serial_square_transpose, 1, 1600, 13, 18.4700000000
serial, 1, 1600, 14, 30.6400000000
serial_transpose, 1, 1600, 14, 18.5300000000
serial_random_line, 1, 1600, 14, 30.8200000000
serial_square_transpose, 1, 1600, 14, 18.4700000000
serial, 1, 1600, 15, 30.7300000000
serial_transpose, 1, 1600, 15, 18.5200000000
serial_random_line, 1, 1600, 15, 30.6900000000
serial_square_transpose, 1, 1600, 15, 18.4700000000
serial, 1, 1760, 1, 40.0300000000
serial_transpose, 1, 1760, 1, 24.6300000000
serial_random_line, 1, 1760, 1, 42.1000000000
serial_square_transpose, 1, 1760, 1, 24.5700000000
serial, 1, 1760, 2, 43.1500000000
serial_transpose, 1, 1760, 2, 24.6400000000
serial_random_line, 1, 1760, 2, 56.3600000000
serial_square_transpose, 1, 1760, 2, 24.5800000000
serial, 1, 1760, 3, 54.9400000000
serial_transpose, 1, 1760, 3, 24.6200000000
serial_random_line, 1, 1760, 3, 41.7100000000
serial_square_transpose, 1, 1760, 3, 24.5800000000
serial, 1, 1760, 4, 61.4100000000
serial_transpose, 1, 1760, 4, 24.6400000000
serial_random_line, 1, 1760, 4, 40.5400000000
serial_square_transpose, 1, 1760, 4, 24.5800000000
serial, 1, 1760, 5, 41.7800000000
serial_transpose, 1, 1760, 5, 24.6500000000
serial_random_line, 1, 1760, 5, 42.7900000000
serial_square_transpose, 1, 1760, 5, 24.5700000000
serial, 1, 1760, 6, 41.4900000000
serial_transpose, 1, 1760, 6, 24.6300000000
serial_random_line, 1, 1760, 6, 42.8800000000
serial_square_transpose, 1, 1760, 6, 24.5700000000
serial, 1, 1760, 7, 42.0200000000
serial_transpose, 1, 1760, 7, 24.6500000000
serial_random_line, 1, 1760, 7, 40.6100000000
serial_square_transpose, 1, 1760, 7, 24.6100000000
serial, 1, 1760, 8, 42.6400000000
serial_transpose, 1, 1760, 8, 24.6400000000
serial_random_line, 1, 1760, 8, 43.4300000000
serial_square_transpose, 1, 1760, 8, 24.5700000000
serial, 1, 1760, 9, 54.7600000000
serial_transpose, 1, 1760, 9, 24.6400000000
serial_random_line, 1, 1760, 9, 39.7600000000
serial_square_transpose, 1, 1760, 9, 24.5700000000
serial, 1, 1760, 10, 39.3700000000
serial_transpose, 1, 1760, 10, 24.6300000000
serial_random_line, 1, 1760, 10, 41.6500000000
serial_square_transpose, 1, 1760, 10, 24.5800000000
serial, 1, 1760, 11, 40.3600000000
serial_transpose, 1, 1760, 11, 24.6400000000
