program,cores,problem_size,trial,execution_time
parallel, 4, 1440, 1, 8.0440668550
parallel_transpose, 4, 1440, 1, 3.4580227460
parallel_square_transpose, 4, 1440, 1, 3.4605154310
parallel, 8, 1440, 1, 4.0693398440
parallel_transpose, 8, 1440, 1, 1.8208607230
parallel_square_transpose, 8, 1440, 1, 1.8022145600
parallel, 4, 1440, 2, 7.9530796180
parallel_transpose, 4, 1440, 2, 3.4412467870
parallel_square_transpose, 4, 1440, 2, 3.4429091680
parallel, 8, 1440, 2, 4.1087549110
parallel_transpose, 8, 1440, 2, 1.7956615100
parallel_square_transpose, 8, 1440, 2, 2.3772050440
parallel, 4, 1440, 3, 7.9708423550
parallel_transpose, 4, 1440, 3, 3.4494318600
parallel_square_transpose, 4, 1440, 3, 3.4637313360
parallel, 8, 1440, 3, 4.0815378340
parallel_transpose, 8, 1440, 3, 1.8112859690
parallel_square_transpose, 8, 1440, 3, 1.7879045850
parallel, 4, 1440, 4, 8.0332918250
parallel_transpose, 4, 1440, 4, 3.5019952120
parallel_square_transpose, 4, 1440, 4, 3.4948449850
parallel, 8, 1440, 4, 4.0310586610
parallel_transpose, 8, 1440, 4, 1.9838167420
parallel_square_transpose, 8, 1440, 4, 1.7723546010
parallel, 4, 1440, 5, 8.0085751050
parallel_transpose, 4, 1440, 5, 3.4667950820
parallel_square_transpose, 4, 1440, 5, 3.4628583790
parallel, 8, 1440, 5, 4.0877540330
parallel_transpose, 8, 1440, 5, 1.7970739150
parallel_square_transpose, 8, 1440, 5, 1.7842940320
parallel, 4, 1440, 6, 8.0726321940
parallel_transpose, 4, 1440, 6, 3.4974371750
parallel_square_transpose, 4, 1440, 6, 3.4866734410
parallel, 8, 1440, 6, 4.1093588570
parallel_transpose, 8, 1440, 6, 1.7808822680
parallel_square_transpose, 8, 1440, 6, 1.7715902710
parallel, 4, 1440, 7, 7.9378836570
parallel_transpose, 4, 1440, 7, 3.4718510580
parallel_square_transpose, 4, 1440, 7, 3.4397616960
parallel, 8, 1440, 7, 4.1410608940
parallel_transpose, 8, 1440, 7, 1.8140112900
parallel_square_transpose, 8, 1440, 7, 1.7573651950
parallel, 4, 1440, 8, 7.9858800320
parallel_transpose, 4, 1440, 8, 3.4501496680
parallel_square_transpose, 4, 1440, 8, 3.4420750000
parallel, 8, 1440, 8, 4.0556396640
parallel_transpose, 8, 1440, 8, 1.7835664740
parallel_square_transpose, 8, 1440, 8, 1.7734427610
parallel, 4, 1440, 9, 8.0167130690
parallel_transpose, 4, 1440, 9, 3.4729802500
parallel_square_transpose, 4, 1440, 9, 3.4517237350
parallel, 8, 1440, 9, 4.0662126580
parallel_transpose, 8, 1440, 9, 1.8095616600
parallel_square_transpose, 8, 1440, 9, 1.7735234910
parallel, 4, 1440, 10, 8.0054425760
parallel_transpose, 4, 1440, 10, 3.4618966050
parallel_square_transpose, 4, 1440, 10, 3.4872209560
parallel, 8, 1440, 10, 4.0852768180
parallel_transpose, 8, 1440, 10, 1.7844507590
parallel_square_transpose, 8, 1440, 10, 1.7891016590
parallel, 4, 1440, 11, 7.9361458300
parallel_transpose, 4, 1440, 11, 3.4542056210
parallel_square_transpose, 4, 1440, 11, 3.4755514560
parallel, 8, 1440, 11, 4.0338913250
parallel_transpose, 8, 1440, 11, 1.7640439920
parallel_square_transpose, 8, 1440, 11, 1.7556742170
parallel, 4, 1440, 12, 8.0745134290
parallel_transpose, 4, 1440, 12, 3.4438239000
parallel_square_transpose, 4, 1440, 12, 3.4363841650
parallel, 8, 1440, 12, 4.0588845580
parallel_transpose, 8, 1440, 12, 1.7688106290
parallel_square_transpose, 8, 1440, 12, 1.7860712170
parallel, 4, 1440, 13, 7.9898799750
parallel_transpose, 4, 1440, 13, 3.4614203740
parallel_square_transpose, 4, 1440, 13, 3.4667140440
parallel, 8, 1440, 13, 4.1146645630
parallel_transpose, 8, 1440, 13, 1.7690788070
parallel_square_transpose, 8, 1440, 13, 1.7865467340
parallel, 4, 1440, 14, 8.0048947940
parallel_transpose, 4, 1440, 14, 3.4664813950
parallel_square_transpose, 4, 1440, 14, 3.4336148910
parallel, 8, 1440, 14, 4.0238283370
parallel_transpose, 8, 1440, 14, 1.8147625390
parallel_square_transpose, 8, 1440, 14, 1.7713684970
parallel, 4, 1440, 15, 8.1662144930
parallel_transpose, 4, 1440, 15, 3.4705048520
parallel_square_transpose, 4, 1440, 15, 3.4617937000
parallel, 8, 1440, 15, 4.0827006690
parallel_transpose, 8, 1440, 15, 1.7894477670
parallel_square_transpose, 8, 1440, 15, 1.7612983910
parallel, 4, 1600, 1, 11.3018480960
parallel_transpose, 4, 1600, 1, 4.7117520630
parallel_square_transpose, 4, 1600, 1, 4.7014633380
parallel, 8, 1600, 1, 5.6584917400
parallel_transpose, 8, 1600, 1, 2.4060477510
parallel_square_transpose, 8, 1600, 1, 2.4370048360
parallel, 4, 1600, 2, 11.2177242380
parallel_transpose, 4, 1600, 2, 4.7213261900
parallel_square_transpose, 4, 1600, 2, 4.7300311910
parallel, 8, 1600, 2, 5.7144951130
parallel_transpose, 8, 1600, 2, 2.4045618680
parallel_square_transpose, 8, 1600, 2, 2.4062381950
parallel, 4, 1600, 3, 11.1988318990
parallel_transpose, 4, 1600, 3, 4.7031134850
parallel_square_transpose, 4, 1600, 3, 4.6994534560
parallel, 8, 1600, 3, 5.6593089010
parallel_transpose, 8, 1600, 3, 2.4309613930
parallel_square_transpose, 8, 1600, 3, 2.4075955760
parallel, 4, 1600, 4, 11.2272216360
parallel_transpose, 4, 1600, 4, 4.7090435660
parallel_square_transpose, 4, 1600, 4, 4.7227527400
parallel, 8, 1600, 4, 5.7342471830
parallel_transpose, 8, 1600, 4, 2.4478430650
parallel_square_transpose, 8, 1600, 4, 2.4455543730
parallel, 4, 1600, 5, 11.3092510950
parallel_transpose, 4, 1600, 5, 4.7047063800
parallel_square_transpose, 4, 1600, 5, 4.7218813780
parallel, 8, 1600, 5, 5.7076746770
parallel_transpose, 8, 1600, 5, 2.4024895770
parallel_square_transpose, 8, 1600, 5, 2.4206119120
parallel, 4, 1600, 6, 11.2451883410
parallel_transpose, 4, 1600, 6, 4.7259335650
parallel_square_transpose, 4, 1600, 6, 4.6984928500
parallel, 8, 1600, 6, 5.7073981770
parallel_transpose, 8, 1600, 6, 2.4574646990
parallel_square_transpose, 8, 1600, 6, 2.4061641150
parallel, 4, 1600, 7, 11.3512973730
parallel_transpose, 4, 1600, 7, 4.7922599410
parallel_square_transpose, 4, 1600, 7, 4.7158591480
parallel, 8, 1600, 7, 5.6876624110
parallel_transpose, 8, 1600, 7, 2.4417680350
parallel_square_transpose, 8, 1600, 7, 2.4344310620
parallel, 4, 1600, 8, 11.2384562960
parallel_transpose, 4, 1600, 8, 4.7238148940
parallel_square_transpose, 4, 1600, 8, 4.6915412120
parallel, 8, 1600, 8, 5.7924889580
parallel_transpose, 8, 1600, 8, 2.4467547400
parallel_square_transpose, 8, 1600, 8, 2.4328662240
parallel, 4, 1600, 9, 11.3142781620
parallel_transpose, 4, 1600, 9, 4.7060326720
parallel_square_transpose, 4, 1600, 9, 4.7064613550
parallel, 8, 1600, 9, 5.8468190790
parallel_transpose, 8, 1600, 9, 2.4276598580
parallel_square_transpose, 8, 1600, 9, 2.4002761080
parallel, 4, 1600, 10, 11.2617956570
parallel_transpose, 4, 1600, 10, 4.7110306840
parallel_square_transpose, 4, 1600, 10, 4.7015308570
parallel, 8, 1600, 10, 5.7022354990
parallel_transpose, 8, 1600, 10, 3.0481616950
parallel_square_transpose, 8, 1600, 10, 2.4129246490
parallel, 4, 1600, 11, 11.3923856630
parallel_transpose, 4, 1600, 11, 4.7026537850
parallel_square_transpose, 4, 1600, 11, 4.7000454480
parallel, 8, 1600, 11, 5.6828144150
parallel_transpose, 8, 1600, 11, 2.4163341350
parallel_square_transpose, 8, 1600, 11, 2.4274620000
parallel, 4, 1600, 12, 11.3062893230
parallel_transpose, 4, 1600, 12, 4.7284720800
parallel_square_transpose, 4, 1600, 12, 4.6949699430
parallel, 8, 1600, 12, 5.6504743950
parallel_transpose, 8, 1600, 12, 2.4046825920
parallel_square_transpose, 8, 1600, 12, 2.4496053580
parallel, 4, 1600, 13, 11.4362095400
parallel_transpose, 4, 1600, 13, 4.7422183110
parallel_square_transpose, 4, 1600, 13, 4.7080514580
parallel, 8, 1600, 13, 5.6810404600
parallel_transpose, 8, 1600, 13, 2.4401977470
parallel_square_transpose, 8, 1600, 13, 2.4510843040
parallel, 4, 1600, 14, 11.2189082900
parallel_transpose, 4, 1600, 14, 4.7138471800
parallel_square_transpose, 4, 1600, 14, 4.7095044500
parallel, 8, 1600, 14, 5.6865273690
parallel_transpose, 8, 1600, 14, 2.4311528050
parallel_square_transpose, 8, 1600, 14, 2.6722019940
parallel, 4, 1600, 15, 11.2192222840
parallel_transpose, 4, 1600, 15, 4.7390152730
parallel_square_transpose, 4, 1600, 15, 4.7012733860
parallel, 8, 1600, 15, 5.7636158010
parallel_transpose, 8, 1600, 15, 2.4725516560
parallel_square_transpose, 8, 1600, 15, 2.4352398550
parallel, 4, 1760, 1, 15.8571437960
parallel_transpose, 4, 1760, 1, 6.2497533940
parallel_square_transpose, 4, 1760, 1, 6.2463621220
parallel, 8, 1760, 1, 7.9676526100
parallel_transpose, 8, 1760, 1, 3.2377725550
parallel_square_transpose, 8, 1760, 1, 3.2011721080
parallel, 4, 1760, 2, 15.7754065970
parallel_transpose, 4, 1760, 2, 6.2522269360
parallel_square_transpose, 4, 1760, 2, 6.2455470030
parallel, 8, 1760, 2, 8.2021819510
parallel_transpose, 8, 1760, 2, 3.2350368560
parallel_square_transpose, 8, 1760, 2, 3.1739547120
parallel, 4, 1760, 3, 15.7060745970
parallel_transpose, 4, 1760, 3, 6.2611645690
parallel_square_transpose, 4, 1760, 3, 6.2329320220
parallel, 8, 1760, 3, 7.9369047020
parallel_transpose, 8, 1760, 3, 3.2371913330
parallel_square_transpose, 8, 1760, 3, 3.2423357530
parallel, 4, 1760, 4, 16.0219499190
parallel_transpose, 4, 1760, 4, 6.2597339760
parallel_square_transpose, 4, 1760, 4, 6.2303879140
parallel, 8, 1760, 4, 8.0006248890
parallel_transpose, 8, 1760, 4, 3.2354010480
parallel_square_transpose, 8, 1760, 4, 3.2272675380
parallel, 4, 1760, 5, 15.7305595520
parallel_transpose, 4, 1760, 5, 6.2786442310
parallel_square_transpose, 4, 1760, 5, 6.2470238660
parallel, 8, 1760, 5, 7.9739795450
parallel_transpose, 8, 1760, 5, 3.2429786800
parallel_square_transpose, 8, 1760, 5, 3.2037094490
parallel, 4, 1760, 6, 16.3508533290
parallel_transpose, 4, 1760, 6, 6.2529104300
parallel_square_transpose, 4, 1760, 6, 6.2485752120
parallel, 8, 1760, 6, 8.0438103860
parallel_transpose, 8, 1760, 6, 3.2436509590
parallel_square_transpose, 8, 1760, 6, 3.2301702810
parallel, 4, 1760, 7, 16.6956127570
parallel_transpose, 4, 1760, 7, 6.2547513790
parallel_square_transpose, 4, 1760, 7, 6.2727498080
parallel, 8, 1760, 7, 7.9706297400
parallel_transpose, 8, 1760, 7, 3.1943167250
parallel_square_transpose, 8, 1760, 7, 3.1952523470
parallel, 4, 1760, 8, 15.9968979200
parallel_transpose, 4, 1760, 8, 6.2485722320
parallel_square_transpose, 4, 1760, 8, 6.2468622490
parallel, 8, 1760, 8, 7.9340122940
parallel_transpose, 8, 1760, 8, 3.1990443920
parallel_square_transpose, 8, 1760, 8, 3.2083372780
parallel, 4, 1760, 9, 15.9604082010
parallel_transpose, 4, 1760, 9, 6.2810320550
parallel_square_transpose, 4, 1760, 9, 6.2430994020
parallel, 8, 1760, 9, 7.9321861130
parallel_transpose, 8, 1760, 9, 3.2119743600
parallel_square_transpose, 8, 1760, 9, 3.2384362070
parallel, 4, 1760, 10, 15.8414146150
parallel_transpose, 4, 1760, 10, 6.2787857310
parallel_square_transpose, 4, 1760, 10, 6.2328376520
parallel, 8, 1760, 10, 8.0318382860
parallel_transpose, 8, 1760, 10, 3.1963599350
parallel_square_transpose, 8, 1760, 10, 3.2054970050
parallel, 4, 1760, 11, 16.2628023740
parallel_transpose, 4, 1760, 11, 6.2694009880
parallel_square_transpose, 4, 1760, 11, 6.2601965570
parallel, 8, 1760, 11, 8.0615864570
parallel_transpose, 8, 1760, 11, 3.2230272460
parallel_square_transpose, 8, 1760, 11, 3.1833317650
parallel, 4, 1760, 12, 15.7381525700
parallel_transpose, 4, 1760, 12, 6.2512915360
parallel_square_transpose, 4, 1760, 12, 6.2534833510
parallel, 8, 1760, 12, 7.9640355170
parallel_transpose, 8, 1760, 12, 3.2026678210
parallel_square_transpose, 8, 1760, 12, 3.2308704330
parallel, 4, 1760, 13, 15.7204912540
parallel_transpose, 4, 1760, 13, 6.2522125510
parallel_square_transpose, 4, 1760, 13, 6.2624112650
parallel, 8, 1760, 13, 7.9487310160
parallel_transpose, 8, 1760, 13, 3.1905703460
parallel_square_transpose, 8, 1760, 13, 3.2231824520
parallel, 4, 1760, 14, 15.9551392960
parallel_transpose, 4, 1760, 14, 6.2552938920
parallel_square_transpose, 4, 1760, 14, 6.2563686970
parallel, 8, 1760, 14, 8.0297688440
parallel_transpose, 8, 1760, 14, 3.2071332940
parallel_square_transpose, 8, 1760, 14, 3.2186019360
parallel, 4, 1760, 15, 15.8988686710
parallel_transpose, 4, 1760, 15, 6.2638133480
parallel_square_transpose, 4, 1760, 15, 6.2389513570
parallel, 8, 1760, 15, 7.9549013190
parallel_transpose, 8, 1760, 15, 3.1895130140
parallel_square_transpose, 8, 1760, 15, 3.2371681520
