program, cores, problem_size, trial, execution_time
parallel, 4, 1440, 1, 8.0550169380
parallel_transpose, 4, 1440, 1, 3.5030654960
parallel_square_transpose, 4, 1440, 1, 3.4962807610
parallel, 8, 1440, 1, 4.1001012300
parallel_transpose, 8, 1440, 1, 2.0825057930
parallel_square_transpose, 8, 1440, 1, 1.7867231500
parallel, 4, 1440, 2, 8.0098378310
parallel_transpose, 4, 1440, 2, 3.5305924320
parallel_square_transpose, 4, 1440, 2, 3.4996047910
parallel, 8, 1440, 2, 4.1013026190
parallel_transpose, 8, 1440, 2, 2.0435597400
parallel_square_transpose, 8, 1440, 2, 1.8287069290
parallel, 4, 1440, 3, 8.0559715040
parallel_transpose, 4, 1440, 3, 3.4826633270
parallel_square_transpose, 4, 1440, 3, 3.4857324190
parallel, 8, 1440, 3, 4.1297112550
parallel_transpose, 8, 1440, 3, 1.8237728510
parallel_square_transpose, 8, 1440, 3, 1.8296682270
parallel, 4, 1440, 4, 8.0207707030
parallel_transpose, 4, 1440, 4, 3.4933989460
parallel_square_transpose, 4, 1440, 4, 3.4999931930
parallel, 8, 1440, 4, 4.1963906790
parallel_transpose, 8, 1440, 4, 1.8133184260
parallel_square_transpose, 8, 1440, 4, 1.8017444910
parallel, 4, 1440, 5, 8.0581276340
parallel_transpose, 4, 1440, 5, 3.4671657510
parallel_square_transpose, 4, 1440, 5, 3.4678618020
parallel, 8, 1440, 5, 4.0740496520
parallel_transpose, 8, 1440, 5, 2.6479914740
parallel_square_transpose, 8, 1440, 5, 1.8315028780
parallel, 4, 1440, 6, 8.0510537000
parallel_transpose, 4, 1440, 6, 3.4943518370
parallel_square_transpose, 4, 1440, 6, 3.4790830470
parallel, 8, 1440, 6, 4.0900393390
parallel_transpose, 8, 1440, 6, 1.8429031050
parallel_square_transpose, 8, 1440, 6, 1.8148751820
parallel, 4, 1440, 7, 8.1156681170
parallel_transpose, 4, 1440, 7, 3.4883824650
parallel_square_transpose, 4, 1440, 7, 3.4514516170
parallel, 8, 1440, 7, 4.1165625510
parallel_transpose, 8, 1440, 7, 1.8489678460
parallel_square_transpose, 8, 1440, 7, 1.8261794440
parallel, 4, 1440, 8, 8.0827528410
parallel_transpose, 4, 1440, 8, 3.4761116340
parallel_square_transpose, 4, 1440, 8, 3.4646985600
parallel, 8, 1440, 8, 4.1279254110
parallel_transpose, 8, 1440, 8, 1.8341549090
parallel_square_transpose, 8, 1440, 8, 1.8282318950
parallel, 4, 1440, 9, 8.0233759670
parallel_transpose, 4, 1440, 9, 3.5088583100
parallel_square_transpose, 4, 1440, 9, 3.4882301460
parallel, 8, 1440, 9, 4.2644814170
parallel_transpose, 8, 1440, 9, 1.8131944360
parallel_square_transpose, 8, 1440, 9, 3.4268819680
parallel, 4, 1440, 10, 8.0823441670
parallel_transpose, 4, 1440, 10, 3.5243821630
parallel_square_transpose, 4, 1440, 10, 3.4920113310
parallel, 8, 1440, 10, 4.1200519350
parallel_transpose, 8, 1440, 10, 1.8429079070
parallel_square_transpose, 8, 1440, 10, 1.8359739860
parallel, 4, 1600, 1, 11.3762492590
parallel_transpose, 4, 1600, 1, 4.7500161560
parallel_square_transpose, 4, 1600, 1, 4.7537987750
parallel, 8, 1600, 1, 5.7357936490
parallel_transpose, 8, 1600, 1, 2.4753366070
parallel_square_transpose, 8, 1600, 1, 2.4715674900
parallel, 4, 1600, 2, 11.6343566460
parallel_transpose, 4, 1600, 2, 4.7372946900
parallel_square_transpose, 4, 1600, 2, 4.7370924830
parallel, 8, 1600, 2, 5.9338962660
parallel_transpose, 8, 1600, 2, 2.4868450710
parallel_square_transpose, 8, 1600, 2, 2.4589998810
parallel, 4, 1600, 3, 11.3020588320
parallel_transpose, 4, 1600, 3, 4.7491849880
parallel_square_transpose, 4, 1600, 3, 4.7645979890
parallel, 8, 1600, 3, 5.7972464490
parallel_transpose, 8, 1600, 3, 2.5057541840
parallel_square_transpose, 8, 1600, 3, 2.4747861230
parallel, 4, 1600, 4, 11.3272334610
parallel_transpose, 4, 1600, 4, 4.7841581990
parallel_square_transpose, 4, 1600, 4, 4.7628748010
parallel, 8, 1600, 4, 6.1610570400
parallel_transpose, 8, 1600, 4, 2.4625888710
parallel_square_transpose, 8, 1600, 4, 2.4461367360
parallel, 4, 1600, 5, 11.2943664160
parallel_transpose, 4, 1600, 5, 4.7749812550
parallel_square_transpose, 4, 1600, 5, 4.7886126330
parallel, 8, 1600, 5, 5.7796512510
parallel_transpose, 8, 1600, 5, 2.4710274790
parallel_square_transpose, 8, 1600, 5, 2.4559634780
parallel, 4, 1600, 6, 11.3137054520
parallel_transpose, 4, 1600, 6, 4.7552719670
parallel_square_transpose, 4, 1600, 6, 4.7807607260
parallel, 8, 1600, 6, 5.7064602720
parallel_transpose, 8, 1600, 6, 3.6009001240
parallel_square_transpose, 8, 1600, 6, 3.5793744930
parallel, 4, 1600, 7, 11.4994318620
parallel_transpose, 4, 1600, 7, 4.7556357360
parallel_square_transpose, 4, 1600, 7, 4.7449738110
parallel, 8, 1600, 7, 8.2344982050
parallel_transpose, 8, 1600, 7, 3.5904404170
parallel_square_transpose, 8, 1600, 7, 3.3598529490
parallel, 4, 1600, 8, 11.2498285440
parallel_transpose, 4, 1600, 8, 4.7723536370
parallel_square_transpose, 4, 1600, 8, 4.7650794590
parallel, 8, 1600, 8, 5.7595669350
parallel_transpose, 8, 1600, 8, 3.6028733030
parallel_square_transpose, 8, 1600, 8, 2.4475884980
parallel, 4, 1600, 9, 11.2579319300
parallel_transpose, 4, 1600, 9, 4.7800066160
parallel_square_transpose, 4, 1600, 9, 4.7247818730
parallel, 8, 1600, 9, 6.6171023730
parallel_transpose, 8, 1600, 9, 2.4455138380
parallel_square_transpose, 8, 1600, 9, 2.4438832830
parallel, 4, 1600, 10, 11.3395379340
parallel_transpose, 4, 1600, 10, 4.7407365550
parallel_square_transpose, 4, 1600, 10, 4.7455168900
parallel, 8, 1600, 10, 8.2362654000
parallel_transpose, 8, 1600, 10, 2.4888230490
parallel_square_transpose, 8, 1600, 10, 3.5515592710
parallel, 4, 1760, 1, 15.4108069480
parallel_transpose, 4, 1760, 1, 6.3000415040
parallel_square_transpose, 4, 1760, 1, 6.2517800210
parallel, 8, 1760, 1, 11.6896120630
parallel_transpose, 8, 1760, 1, 4.7347500700
parallel_square_transpose, 8, 1760, 1, 4.7154309800
parallel, 4, 1760, 2, 15.4420623540
parallel_transpose, 4, 1760, 2, 6.3274033090
parallel_square_transpose, 4, 1760, 2, 6.3084734630
