program, cores, problem_size, trial, execution_time
serial, 1, 1440, 1, 32.5600000000
serial_transpose, 1, 1440, 1, 13.5000000000
serial_random_line, 1, 1440, 1, 32.6300000000
serial_square_transpose, 1, 1440, 1, 13.4600000000
serial, 1, 1440, 2, 31.6100000000
serial_transpose, 1, 1440, 2, 13.5000000000
serial_random_line, 1, 1440, 2, 32.6200000000
serial_square_transpose, 1, 1440, 2, 13.4600000000
serial, 1, 1440, 3, 32.8600000000
serial_transpose, 1, 1440, 3, 13.5100000000
serial_random_line, 1, 1440, 3, 31.9400000000
serial_square_transpose, 1, 1440, 3, 13.5500000000
serial, 1, 1440, 4, 31.9400000000
serial_transpose, 1, 1440, 4, 13.5000000000
serial_random_line, 1, 1440, 4, 32.6900000000
serial_square_transpose, 1, 1440, 4, 13.4700000000
serial, 1, 1440, 5, 33.4300000000
serial_transpose, 1, 1440, 5, 13.5200000000
serial_random_line, 1, 1440, 5, 31.9100000000
serial_square_transpose, 1, 1440, 5, 13.4700000000
serial, 1, 1440, 6, 33.4500000000
serial_transpose, 1, 1440, 6, 13.5100000000
serial_random_line, 1, 1440, 6, 32.6100000000
serial_square_transpose, 1, 1440, 6, 13.5600000000
serial, 1, 1440, 7, 33.5500000000
serial_transpose, 1, 1440, 7, 13.5100000000
serial_random_line, 1, 1440, 7, 31.8300000000
serial_square_transpose, 1, 1440, 7, 13.4500000000
serial, 1, 1440, 8, 33.9300000000
serial_transpose, 1, 1440, 8, 13.5200000000
serial_random_line, 1, 1440, 8, 32.0200000000
serial_square_transpose, 1, 1440, 8, 13.4600000000
serial, 1, 1440, 9, 32.4800000000
serial_transpose, 1, 1440, 9, 13.5000000000
serial_random_line, 1, 1440, 9, 33.1300000000
serial_square_transpose, 1, 1440, 9, 13.4800000000
serial, 1, 1440, 10, 31.9300000000
serial_transpose, 1, 1440, 10, 13.5000000000
serial_random_line, 1, 1440, 10, 32.9700000000
serial_square_transpose, 1, 1440, 10, 13.4600000000
serial, 1, 1600, 1, 47.7400000000
serial_transpose, 1, 1600, 1, 18.5100000000
serial_random_line, 1, 1600, 1, 45.6300000000
serial_square_transpose, 1, 1600, 1, 18.4900000000
serial, 1, 1600, 2, 49.4800000000
serial_transpose, 1, 1600, 2, 18.4900000000
serial_random_line, 1, 1600, 2, 51.0800000000
serial_square_transpose, 1, 1600, 2, 18.5400000000
serial, 1, 1600, 3, 56.8600000000
serial_transpose, 1, 1600, 3, 18.5600000000
serial_random_line, 1, 1600, 3, 57.6800000000
serial_square_transpose, 1, 1600, 3, 18.5300000000
serial, 1, 1600, 4, 51.1500000000
serial_transpose, 1, 1600, 4, 18.5000000000
serial_random_line, 1, 1600, 4, 50.2300000000
serial_square_transpose, 1, 1600, 4, 18.4800000000
serial, 1, 1600, 5, 45.9700000000
serial_transpose, 1, 1600, 5, 18.5000000000
serial_random_line, 1, 1600, 5, 46.2600000000
serial_square_transpose, 1, 1600, 5, 18.4700000000
serial, 1, 1600, 6, 47.3000000000
serial_transpose, 1, 1600, 6, 18.4900000000
serial_random_line, 1, 1600, 6, 48.3300000000
serial_square_transpose, 1, 1600, 6, 18.4900000000
serial, 1, 1600, 7, 49.5600000000
serial_transpose, 1, 1600, 7, 18.5300000000
serial_random_line, 1, 1600, 7, 48.1300000000
serial_square_transpose, 1, 1600, 7, 18.4600000000
serial, 1, 1600, 8, 46.5400000000
serial_transpose, 1, 1600, 8, 18.5100000000
serial_random_line, 1, 1600, 8, 47.0200000000
serial_square_transpose, 1, 1600, 8, 18.4900000000
serial, 1, 1600, 9, 46.7100000000
serial_transpose, 1, 1600, 9, 18.5400000000
serial_random_line, 1, 1600, 9, 45.4700000000
serial_square_transpose, 1, 1600, 9, 18.4600000000
serial, 1, 1600, 10, 47.9500000000
serial_transpose, 1, 1600, 10, 18.5100000000
serial_random_line, 1, 1600, 10, 49.3200000000
serial_square_transpose, 1, 1600, 10, 18.4600000000
serial, 1, 1760, 1, 68.1700000000
serial_transpose, 1, 1760, 1, 24.6500000000
serial_random_line, 1, 1760, 1, 71.3000000000
serial_square_transpose, 1, 1760, 1, 24.6600000000
serial, 1, 1760, 2, 64.9700000000
serial_transpose, 1, 1760, 2, 24.6500000000
serial_random_line, 1, 1760, 2, 67.5500000000
serial_square_transpose, 1, 1760, 2, 24.6000000000
serial, 1, 1760, 3, 66.8600000000
serial_transpose, 1, 1760, 3, 24.6600000000
serial_random_line, 1, 1760, 3, 66.4400000000
serial_square_transpose, 1, 1760, 3, 24.6200000000
serial, 1, 1760, 4, 69.7000000000
serial_transpose, 1, 1760, 4, 24.6300000000
serial_random_line, 1, 1760, 4, 69.2200000000
serial_square_transpose, 1, 1760, 4, 24.5600000000
serial, 1, 1760, 5, 68.4400000000
serial_transpose, 1, 1760, 5, 24.6200000000
serial_random_line, 1, 1760, 5, 66.5100000000
serial_square_transpose, 1, 1760, 5, 24.6300000000
serial, 1, 1760, 6, 66.9100000000
serial_transpose, 1, 1760, 6, 24.6800000000
serial_random_line, 1, 1760, 6, 67.6400000000
serial_square_transpose, 1, 1760, 6, 24.6000000000
serial, 1, 1760, 7, 69.3400000000
serial_transpose, 1, 1760, 7, 24.6100000000
serial_random_line, 1, 1760, 7, 71.6600000000
serial_square_transpose, 1, 1760, 7, 24.5800000000
serial, 1, 1760, 8, 72.2300000000
serial_transpose, 1, 1760, 8, 24.6200000000
serial_random_line, 1, 1760, 8, 70.5000000000
serial_square_transpose, 1, 1760, 8, 24.5700000000
serial, 1, 1760, 9, 65.1400000000
serial_transpose, 1, 1760, 9, 24.6400000000
serial_random_line, 1, 1760, 9, 66.3900000000
serial_square_transpose, 1, 1760, 9, 24.6000000000
serial, 1, 1760, 10, 71.2800000000
serial_transpose, 1, 1760, 10, 24.6100000000
serial_random_line, 1, 1760, 10, 71.0000000000
serial_square_transpose, 1, 1760, 10, 24.5500000000
serial, 1, 1920, 1, 96.1700000000
serial_transpose, 1, 1920, 1, 31.9900000000
serial_random_line, 1, 1920, 1, 97.8400000000
serial_square_transpose, 1, 1920, 1, 31.9300000000
serial, 1, 1920, 2, 96.0900000000
serial_transpose, 1, 1920, 2, 32.0400000000
