program,cores,problem_size,trial,execution_time
parallel,4,50000000,1, 14.2191758920
parallel_rand_r,4,50000000,1, 7.1121691010
parallel,8,50000000,1, 12.7591907360
parallel_rand_r,8,50000000,1, 4.6730977990
parallel,16,50000000,1, 11.3531156420
parallel_rand_r,16,50000000,1, 9.3628969690
parallel,32,50000000,1, 13.3438632580
parallel_rand_r,32,50000000,1, 11.0388783050
parallel,4,50000000,2, 14.4479568860
parallel_rand_r,4,50000000,2, 7.1956816630
parallel,8,50000000,2, 12.6361804400
parallel_rand_r,8,50000000,2, 5.5508844350
parallel,16,50000000,2, 11.4957688310
parallel_rand_r,16,50000000,2, 9.5224282120
parallel,32,50000000,2, 12.1869925560
parallel_rand_r,32,50000000,2, 11.1233190890
parallel,4,50000000,3, 16.5151795110
parallel_rand_r,4,50000000,3, 7.0965026460
parallel,8,50000000,3, 12.8634009180
parallel_rand_r,8,50000000,3, 4.4743434450
parallel,16,50000000,3, 12.1131747520
parallel_rand_r,16,50000000,3, 7.7741220900
parallel,32,50000000,3, 12.5420427140
parallel_rand_r,32,50000000,3, 11.4750883270
parallel,4,50000000,4, 15.4650484070
parallel_rand_r,4,50000000,4, 7.1312976910
parallel,8,50000000,4, 12.7156744590
parallel_rand_r,8,50000000,4, 4.8870445410
parallel,16,50000000,4, 12.0882712570
parallel_rand_r,16,50000000,4, 7.8385964920
parallel,32,50000000,4, 12.2071076890
parallel_rand_r,32,50000000,4, 11.0628982720
parallel,4,50000000,5, 16.1246123940
parallel_rand_r,4,50000000,5, 7.0921815050
parallel,8,50000000,5, 12.7795442140
parallel_rand_r,8,50000000,5, 4.8888677920
parallel,16,50000000,5, 11.8838311940
parallel_rand_r,16,50000000,5, 9.2294345810
parallel,32,50000000,5, 12.0431748350
parallel_rand_r,32,50000000,5, 11.3379822430
parallel,4,50000000,6, 15.8015376350
parallel_rand_r,4,50000000,6, 7.0948528030
parallel,8,50000000,6, 11.9763281900
parallel_rand_r,8,50000000,6, 5.3938484830
parallel,16,50000000,6, 11.8135518970
parallel_rand_r,16,50000000,6, 8.1590719150
parallel,32,50000000,6, 12.3398599000
parallel_rand_r,32,50000000,6, 11.3850975590
parallel,4,50000000,7, 16.0264781190
parallel_rand_r,4,50000000,7, 7.1210825770
parallel,8,50000000,7, 12.9409684120
parallel_rand_r,8,50000000,7, 4.4417713180
parallel,16,50000000,7, 11.6646160270
parallel_rand_r,16,50000000,7, 8.9301647700
parallel,32,50000000,7, 11.8208444790
parallel_rand_r,32,50000000,7, 11.2730383460
parallel,4,50000000,8, 16.2656587700
parallel_rand_r,4,50000000,8, 7.4357361790
parallel,8,50000000,8, 12.9837944380
parallel_rand_r,8,50000000,8, 4.7757784330
parallel,16,50000000,8, 11.6080789780
parallel_rand_r,16,50000000,8, 9.0579592060
parallel,32,50000000,8, 12.8442610810
parallel_rand_r,32,50000000,8, 11.2473509120
parallel,4,50000000,9, 13.4991337490
parallel_rand_r,4,50000000,9, 7.2104935400
parallel,8,50000000,9, 13.3141600860
parallel_rand_r,8,50000000,9, 5.0496322620
parallel,16,50000000,9, 11.7562074540
parallel_rand_r,16,50000000,9, 8.0147241850
