program,cores,problem_size,trial,execution_time
serial, 1, 250000000, 1, 169.7900000000
serial, 1, 250000000, 2, 169.9800000000
serial, 1, 250000000, 3, 169.8500000000
serial, 1, 250000000, 4, 170.0900000000
serial, 1, 250000000, 5, 169.8700000000
serial, 1, 250000000, 6, 170.0100000000
serial, 1, 250000000, 7, 169.9800000000
serial, 1, 250000000, 8, 169.9600000000
serial, 1, 250000000, 9, 169.8100000000
serial, 1, 250000000, 10, 169.9700000000
serial, 1, 250000000, 11, 169.8700000000
serial, 1, 250000000, 12, 169.9600000000
serial, 1, 250000000, 13, 169.8000000000
serial, 1, 250000000, 14, 169.8800000000
serial, 1, 250000000, 15, 169.8500000000
