program,cores,problem_size,trial,execution_time
serial,1,50000000,1, 33.8300000000
serial,1,50000000,2, 33.8000000000
serial,1,50000000,3, 33.8200000000
serial,1,50000000,4, 33.7900000000
serial,1,50000000,5, 33.8200000000
serial,1,50000000,6, 33.8300000000
serial,1,50000000,7, 33.8100000000
serial,1,50000000,8, 33.8300000000
serial,1,50000000,9, 33.8300000000
serial,1,50000000,10, 33.8300000000
serial,1,50000000,11, 33.8200000000
serial,1,50000000,12, 33.8100000000
serial,1,50000000,13, 33.8300000000
serial,1,50000000,14, 33.8000000000
serial,1,50000000,15, 33.8300000000
serial,1,100000000,1, 67.5800000000
serial,1,100000000,2, 67.6600000000
serial,1,100000000,3, 67.6400000000
serial,1,100000000,4, 67.6600000000
serial,1,100000000,5, 67.6500000000
serial,1,100000000,6, 67.6500000000
serial,1,100000000,7, 67.6500000000
serial,1,100000000,8, 67.6200000000
serial,1,100000000,9, 67.6600000000
serial,1,100000000,10, 67.6500000000
serial,1,100000000,11, 67.6600000000
serial,1,100000000,12, 67.6600000000
serial,1,100000000,13, 67.6500000000
serial,1,100000000,14, 67.6500000000
serial,1,100000000,15, 67.6500000000
serial,1,150000000,1, 101.4800000000
serial,1,150000000,2, 101.4600000000
serial,1,150000000,3, 101.4900000000
serial,1,150000000,4, 101.4700000000
serial,1,150000000,5, 101.4800000000
serial,1,150000000,6, 101.7900000000
serial,1,150000000,7, 101.5000000000
serial,1,150000000,8, 101.4800000000
serial,1,150000000,9, 101.4900000000
serial,1,150000000,10, 101.4800000000
serial,1,150000000,11, 101.4800000000
serial,1,150000000,12, 101.4700000000
serial,1,150000000,13, 101.4700000000
serial,1,150000000,14, 101.4800000000
serial,1,150000000,15, 101.4900000000
serial,1,200000000,1, 135.3200000000
serial,1,200000000,2, 135.3200000000
serial,1,200000000,3, 135.3000000000
serial,1,200000000,4, 135.3100000000
serial,1,200000000,5, 135.3100000000
serial,1,200000000,6, 135.2900000000
serial,1,200000000,7, 135.3100000000
serial,1,200000000,8, 135.3100000000
serial,1,200000000,9, 135.2900000000
serial,1,200000000,10, 135.3200000000
serial,1,200000000,11, 135.3000000000
serial,1,200000000,12, 135.3100000000
serial,1,200000000,13, 135.2800000000
serial,1,200000000,14, 135.3000000000
serial,1,200000000,15, 135.3300000000
serial,1,250000000,1, 169.7900000000
serial,1,250000000,2, 169.9800000000
serial,1,250000000,3, 169.8500000000
serial,1,250000000,4, 170.0900000000
serial,1,250000000,5, 169.8700000000
serial,1,250000000,6, 170.0100000000
serial,1,250000000,7, 169.9800000000
serial,1,250000000,8, 169.9600000000
serial,1,250000000,9, 169.8100000000
serial,1,250000000,10, 169.9700000000
serial,1,250000000,11, 169.8700000000
serial,1,250000000,12, 169.9600000000
serial,1,250000000,13, 169.8000000000
serial,1,250000000,14, 169.8800000000
serial,1,250000000,15, 169.8500000000
