program,cores,problem_size,trial,execution_time
parallel, 4, 50000000, 1, 6.8216243590
parallel, 8, 50000000, 1, 3.4301101790
parallel, 16, 50000000, 1, 1.9974989360
parallel, 32, 50000000, 1, 2.4433295080
parallel, 4, 50000000, 2, 6.8195606170
parallel, 8, 50000000, 2, 4.0618871300
parallel, 16, 50000000, 2, 2.1606254180
parallel, 32, 50000000, 2, 2.4015490050
parallel, 4, 50000000, 3, 6.8482799240
parallel, 8, 50000000, 3, 3.8532612600
parallel, 16, 50000000, 3, 2.0202352150
parallel, 32, 50000000, 3, 2.3038600720
parallel, 4, 50000000, 4, 6.8204915820
parallel, 8, 50000000, 4, 3.4202040990
parallel, 16, 50000000, 4, 1.9956189880
parallel, 32, 50000000, 4, 2.2333994990
parallel, 4, 50000000, 5, 6.8206316110
parallel, 8, 50000000, 5, 3.4217049020
parallel, 16, 50000000, 5, 2.0078355210
parallel, 32, 50000000, 5, 2.3165214920
parallel, 4, 50000000, 6, 6.8208971190
parallel, 8, 50000000, 6, 3.7597494310
parallel, 16, 50000000, 6, 2.3739093990
parallel, 32, 50000000, 6, 2.4154102190
parallel, 4, 50000000, 7, 6.8218776140
parallel, 8, 50000000, 7, 3.4225711160
parallel, 16, 50000000, 7, 2.0029514220
parallel, 32, 50000000, 7, 2.3290496710
parallel, 4, 50000000, 8, 7.2928058680
parallel, 8, 50000000, 8, 3.4208029550
parallel, 16, 50000000, 8, 2.1614982220
parallel, 32, 50000000, 8, 2.3187802070
parallel, 4, 50000000, 9, 6.8178173110
parallel, 8, 50000000, 9, 3.4631529160
parallel, 16, 50000000, 9, 1.9973260620
parallel, 32, 50000000, 9, 2.3407733320
parallel, 4, 50000000, 10, 6.9141307060
parallel, 8, 50000000, 10, 3.4422899820
parallel, 16, 50000000, 10, 2.0029957610
parallel, 32, 50000000, 10, 2.3116877340
parallel, 4, 50000000, 11, 6.8158199370
parallel, 8, 50000000, 11, 3.4318872300
parallel, 16, 50000000, 11, 1.9936917730
parallel, 32, 50000000, 11, 2.2613606840
parallel, 4, 50000000, 12, 6.9664869520
parallel, 8, 50000000, 12, 3.4194341570
parallel, 16, 50000000, 12, 1.9887559000
parallel, 32, 50000000, 12, 2.3542733420
parallel, 4, 50000000, 13, 6.8200446110
parallel, 8, 50000000, 13, 3.4196058620
parallel, 16, 50000000, 13, 1.9922208120
parallel, 32, 50000000, 13, 2.2549085780
parallel, 4, 50000000, 14, 6.8636049510
parallel, 8, 50000000, 14, 3.4367386300
parallel, 16, 50000000, 14, 2.0051468310
parallel, 32, 50000000, 14, 2.3801560770
parallel, 4, 50000000, 15, 6.8154520370
parallel, 8, 50000000, 15, 3.4486898660
parallel, 16, 50000000, 15, 1.9976262980
parallel, 32, 50000000, 15, 2.2191557080
parallel, 4, 100000000, 1, 13.6310057590
parallel, 8, 100000000, 1, 6.8334603560
parallel, 16, 100000000, 1, 3.9165066870
parallel, 32, 100000000, 1, 4.2079588980
parallel, 4, 100000000, 2, 13.6243739550
parallel, 8, 100000000, 2, 6.8304317560
parallel, 16, 100000000, 2, 3.9232893770
parallel, 32, 100000000, 2, 4.0918040790
parallel, 4, 100000000, 3, 13.6267590470
parallel, 8, 100000000, 3, 6.8314464760
parallel, 16, 100000000, 3, 3.9153801090
parallel, 32, 100000000, 3, 4.1475194790
parallel, 4, 100000000, 4, 13.6318330250
parallel, 8, 100000000, 4, 6.8329324080
parallel, 16, 100000000, 4, 3.9184079900
parallel, 32, 100000000, 4, 4.3554496410
parallel, 4, 100000000, 5, 13.6287195240
parallel, 8, 100000000, 5, 6.8286477890
parallel, 16, 100000000, 5, 3.9092711140
parallel, 32, 100000000, 5, 4.1647621480
parallel, 4, 100000000, 6, 13.6248700210
parallel, 8, 100000000, 6, 6.8426392940
parallel, 16, 100000000, 6, 3.9245054160
parallel, 32, 100000000, 6, 4.0805565300
parallel, 4, 100000000, 7, 13.6269462860
parallel, 8, 100000000, 7, 6.8329505160
parallel, 16, 100000000, 7, 3.9224229070
parallel, 32, 100000000, 7, 4.1350915740
parallel, 4, 100000000, 8, 13.6270440380
parallel, 8, 100000000, 8, 6.8298964020
parallel, 16, 100000000, 8, 4.5917956290
parallel, 32, 100000000, 8, 4.1473158620
parallel, 4, 100000000, 9, 13.6271966520
parallel, 8, 100000000, 9, 6.8370148550
parallel, 16, 100000000, 9, 3.9264376900
parallel, 32, 100000000, 9, 4.2534015950
parallel, 4, 100000000, 10, 13.6311349780
parallel, 8, 100000000, 10, 6.8880726560
parallel, 16, 100000000, 10, 3.9365831090
parallel, 32, 100000000, 10, 4.0823161490
parallel, 4, 100000000, 11, 13.6349297410
parallel, 8, 100000000, 11, 6.8352955320
parallel, 16, 100000000, 11, 3.9164662600
parallel, 32, 100000000, 11, 4.3499047460
parallel, 4, 100000000, 12, 13.6426141050
parallel, 8, 100000000, 12, 6.9080954580
parallel, 16, 100000000, 12, 4.3504858980
parallel, 32, 100000000, 12, 4.4544893640
parallel, 4, 100000000, 13, 13.6325363110
parallel, 8, 100000000, 13, 7.1391551900
parallel, 16, 100000000, 13, 4.2498656240
