program,cores,problem_size,trial,execution_time
parallel,4,50000000,1, 6.8183466230
parallel,4,50000000,2, 6.8216412830
parallel,4,50000000,3, 6.8179984110
parallel,4,50000000,4, 6.8198152270
parallel,4,50000000,5, 6.8200819910
parallel,4,50000000,6, 6.8180277280
parallel,4,50000000,7, 6.8150324950
parallel,4,50000000,8, 6.8191841960
parallel,4,50000000,9, 6.8907230800
parallel,4,50000000,10, 6.8248168330
parallel,4,50000000,11, 6.8146656030
parallel,4,50000000,12, 6.8173103110
parallel,4,50000000,13, 6.8170190180
parallel,4,50000000,14, 6.8629822130
parallel,4,50000000,15, 6.8431414480
parallel,4,100000000,1, 13.6318707050
parallel,4,100000000,2, 13.7346901830
parallel,4,100000000,3, 13.6252582450
parallel,4,100000000,4, 13.7803299610
parallel,4,100000000,5, 13.7507493270
parallel,4,100000000,6, 13.6289664510
parallel,4,100000000,7, 13.6357807790
parallel,4,100000000,8, 13.6255141520
parallel,4,100000000,9, 13.6309093080
parallel,4,100000000,10, 13.6227478070
parallel,4,100000000,11, 13.6259305170
parallel,4,100000000,12, 13.6262788340
parallel,4,100000000,13, 13.6222759660
parallel,4,100000000,14, 13.6355574550
parallel,4,100000000,15, 13.6289584660
parallel,4,150000000,1, 20.4370426720
parallel,4,150000000,2, 20.4411548000
parallel,4,150000000,3, 20.4369225890
parallel,4,150000000,4, 20.4413616370
parallel,4,150000000,5, 20.4425734900
parallel,4,150000000,6, 20.4406840850
parallel,4,150000000,7, 20.4443632590
parallel,4,150000000,8, 20.4440389400
parallel,4,150000000,9, 20.4367689400
parallel,4,150000000,10, 20.4371745870
parallel,4,150000000,11, 20.4304378400
parallel,4,150000000,12, 20.4356718970
parallel,4,150000000,13, 20.7133057890
parallel,4,150000000,14, 20.4389457570
parallel,4,150000000,15, 20.4372794200
parallel,4,200000000,1, 27.2460942140
parallel,4,200000000,2, 27.2394063890
parallel,4,200000000,3, 27.3602573020
parallel,4,200000000,4, 27.2455678780
parallel,4,200000000,5, 27.2422389680
parallel,4,200000000,6, 27.2477286250
parallel,4,200000000,7, 27.2410985510
parallel,4,200000000,8, 27.2534453040
parallel,4,200000000,9, 27.2504260010
parallel,4,200000000,10, 27.2455496280
parallel,4,200000000,11, 27.2444669470
parallel,4,200000000,12, 27.2503094050
parallel,4,200000000,13, 27.2476436860
parallel,4,200000000,14, 27.2527563010
parallel,4,200000000,15, 27.2496921430
parallel,4,250000000,1, 34.0612495760
parallel,4,250000000,2, 34.0524913620
parallel,4,250000000,3, 34.0408837520
parallel,4,250000000,4, 34.0608547230
parallel,4,250000000,5, 34.0894950980
parallel,4,250000000,6, 34.0615887550
parallel,4,250000000,7, 34.0644116210
parallel,4,250000000,8, 34.0583560830
parallel,4,250000000,9, 34.4860614520
parallel,4,250000000,10, 34.0593748130
parallel,4,250000000,11, 34.0843543300
parallel,4,250000000,12, 34.4461759590
parallel,4,250000000,13, 34.2035375800
parallel,4,250000000,14, 34.0719460490
parallel,4,250000000,15, 34.5885817620
parallel,8,50000000,1, 3.6195537310
parallel,8,50000000,2, 3.4500007220
parallel,8,50000000,3, 3.4183694410
parallel,8,50000000,4, 3.4182245550
parallel,8,50000000,5, 3.4429997860
parallel,8,50000000,6, 3.4223691380
parallel,8,50000000,7, 3.4206531230
parallel,8,50000000,8, 3.4936896900
parallel,8,50000000,9, 3.5087713730
parallel,8,50000000,10, 3.4172158320
parallel,8,50000000,11, 3.4742444460
parallel,8,50000000,12, 3.6136350780
parallel,8,50000000,13, 3.5185968320
parallel,8,50000000,14, 3.5287838180
parallel,8,50000000,15, 3.4547561080
parallel,8,100000000,1, 6.8281822270
parallel,8,100000000,2, 6.8957530110
parallel,8,100000000,3, 6.8785414490
parallel,8,100000000,4, 7.2186357430
parallel,8,100000000,5, 6.8458734310
parallel,8,100000000,6, 6.8299374400
parallel,8,100000000,7, 6.8308258790
parallel,8,100000000,8, 7.0906289240
parallel,8,100000000,9, 6.8980196160
parallel,8,100000000,10, 7.6068552970
parallel,8,100000000,11, 6.8283424840
parallel,8,100000000,12, 6.8315992480
parallel,8,100000000,13, 6.8909995120
parallel,8,100000000,14, 6.8248538220
parallel,8,100000000,15, 6.8755349260
parallel,8,150000000,1, 10.2385757240
parallel,8,150000000,2, 13.8125775120
parallel,8,150000000,3, 10.2402136800
parallel,8,150000000,4, 10.2387142000
parallel,8,150000000,5, 10.2394246200
parallel,8,150000000,6, 10.2403517070
parallel,8,150000000,7, 10.2478870880
parallel,8,150000000,8, 10.2364142060
parallel,8,150000000,9, 10.2394493680
parallel,8,150000000,10, 10.2402941200
parallel,8,150000000,11, 10.3702297390
parallel,8,150000000,12, 10.3535714610
parallel,8,150000000,13, 10.2862222600
parallel,8,150000000,14, 10.3774165200
parallel,8,150000000,15, 10.2323411870
parallel,8,200000000,1, 13.8147397630
parallel,8,200000000,2, 13.6662372510
parallel,8,200000000,3, 13.6510503750
parallel,8,200000000,4, 13.6453848050
parallel,8,200000000,5, 13.8390022860
parallel,8,200000000,6, 13.6443461230
parallel,8,200000000,7, 13.8856992480
parallel,8,200000000,8, 13.9785708780
parallel,8,200000000,9, 13.6509790100
