program,cores,problem_size,trial,execution_time
parallel,4,50000000,1, 6.8599786790
parallel,4,50000000,2, 6.8641829040
parallel,4,50000000,3, 6.9037174150
parallel,4,50000000,4, 6.8337641590
parallel,4,50000000,5, 7.6397888150
parallel,4,50000000,6, 6.8128186970
parallel,4,50000000,7, 6.8146255580
parallel,4,50000000,8, 6.8600896750
parallel,4,50000000,9, 6.8107367420
parallel,4,50000000,10, 6.8180611970
parallel,4,50000000,11, 6.8353300940
parallel,4,50000000,12, 6.8129208900
parallel,4,50000000,13, 6.8141847760
parallel,4,50000000,14, 6.8144501460
parallel,4,50000000,15, 6.8109075310
parallel,4,100000000,1, 13.6190516760
parallel,4,100000000,2, 13.6247219990
parallel,4,100000000,3, 13.6217474830
parallel,4,100000000,4, 13.6238697180
parallel,4,100000000,5, 13.6197984040
parallel,4,100000000,6, 13.6236528500
parallel,4,100000000,7, 13.6222283150
parallel,4,100000000,8, 13.6231869560
parallel,4,100000000,9, 13.6257226790
parallel,4,100000000,10, 13.6190549340
parallel,4,100000000,11, 13.6207306040
parallel,4,100000000,12, 13.6291654330
parallel,4,100000000,13, 13.6231185140
parallel,4,100000000,14, 13.6158196100
parallel,4,100000000,15, 13.6220512420
parallel,4,150000000,1, 20.4316256390
parallel,4,150000000,2, 20.4235730960
parallel,4,150000000,3, 20.4345541200
parallel,4,150000000,4, 20.4297705230
parallel,4,150000000,5, 20.5057277820
parallel,4,150000000,6, 20.5490465990
parallel,4,150000000,7, 20.4265336670
parallel,4,150000000,8, 20.4316178510
parallel,4,150000000,9, 20.4286633340
parallel,4,150000000,10, 20.4286876910
parallel,4,150000000,11, 20.4307293020
parallel,4,150000000,12, 20.4296769820
parallel,4,150000000,13, 20.4280958020
parallel,4,150000000,14, 20.4263858760
parallel,4,150000000,15, 20.4317128010
parallel,4,200000000,1, 27.2427157540
parallel,4,200000000,2, 27.2364426880
parallel,4,200000000,3, 27.2361815580
parallel,4,200000000,4, 27.2419542060
parallel,4,200000000,5, 27.2331317810
parallel,4,200000000,6, 27.2394420060
parallel,4,200000000,7, 27.2368700420
parallel,4,200000000,8, 27.2321365520
parallel,4,200000000,9, 27.2404311640
parallel,4,200000000,10, 27.2500896540
parallel,4,200000000,11, 27.2447594890
parallel,4,200000000,12, 27.2349664310
parallel,4,200000000,13, 27.2399005560
parallel,4,200000000,14, 27.2409655890
