program,cores,problem_size,trial,execution_time
serial, 1, 50000000, 1, 32.7300000000
serial, 1, 50000000, 2, 32.7800000000
serial, 1, 50000000, 3, 32.8200000000
serial, 1, 50000000, 4, 32.6700000000
serial, 1, 50000000, 5, 32.8200000000
serial, 1, 50000000, 6, 32.6800000000
serial, 1, 50000000, 7, 32.8100000000
serial, 1, 50000000, 8, 32.8200000000
serial, 1, 50000000, 9, 32.8200000000
serial, 1, 50000000, 10, 32.6900000000
serial, 1, 50000000, 11, 32.8200000000
serial, 1, 50000000, 12, 32.6800000000
serial, 1, 50000000, 13, 32.8100000000
serial, 1, 50000000, 14, 32.7000000000
serial, 1, 50000000, 15, 32.8200000000
serial, 1, 100000000, 1, 65.5900000000
serial, 1, 100000000, 2, 65.4400000000
serial, 1, 100000000, 3, 65.3500000000
serial, 1, 100000000, 4, 65.3600000000
serial, 1, 100000000, 5, 65.4500000000
serial, 1, 100000000, 6, 65.4600000000
serial, 1, 100000000, 7, 65.6400000000
serial, 1, 100000000, 8, 65.3500000000
serial, 1, 100000000, 9, 65.6500000000
serial, 1, 100000000, 10, 65.3700000000
serial, 1, 100000000, 11, 65.3500000000
serial, 1, 100000000, 12, 65.3700000000
serial, 1, 100000000, 13, 65.3900000000
serial, 1, 100000000, 14, 65.3500000000
serial, 1, 100000000, 15, 65.5900000000
serial, 1, 150000000, 1, 98.2100000000
serial, 1, 150000000, 2, 98.1300000000
serial, 1, 150000000, 3, 98.4600000000
serial, 1, 150000000, 4, 98.0200000000
serial, 1, 150000000, 5, 98.3700000000
serial, 1, 150000000, 6, 98.0900000000
serial, 1, 150000000, 7, 98.1900000000
serial, 1, 150000000, 8, 98.0300000000
serial, 1, 150000000, 9, 98.4600000000
serial, 1, 150000000, 10, 98.0300000000
serial, 1, 150000000, 11, 98.1500000000
serial, 1, 150000000, 12, 98.0900000000
serial, 1, 150000000, 13, 98.2900000000
serial, 1, 150000000, 14, 98.0500000000
serial, 1, 150000000, 15, 98.2500000000
serial, 1, 200000000, 1, 130.7200000000
serial, 1, 200000000, 2, 130.9200000000
serial, 1, 200000000, 3, 130.7400000000
serial, 1, 200000000, 4, 130.9200000000
serial, 1, 200000000, 5, 130.7500000000
serial, 1, 200000000, 6, 131.2100000000
serial, 1, 200000000, 7, 131.5300000000
serial, 1, 200000000, 8, 130.8200000000
serial, 1, 200000000, 9, 131.3500000000
serial, 1, 200000000, 10, 130.7500000000
serial, 1, 200000000, 11, 130.9700000000
serial, 1, 200000000, 12, 130.7100000000
serial, 1, 200000000, 13, 130.7300000000
serial, 1, 200000000, 14, 130.7800000000
serial, 1, 200000000, 15, 131.2200000000
serial, 1, 250000000, 1, 163.7900000000
serial, 1, 250000000, 2, 163.3900000000
serial, 1, 250000000, 3, 164.0300000000
serial, 1, 250000000, 4, 163.6200000000
serial, 1, 250000000, 5, 163.8400000000
serial, 1, 250000000, 6, 163.3700000000
serial, 1, 250000000, 7, 164.1200000000
serial, 1, 250000000, 8, 163.3700000000
serial, 1, 250000000, 9, 163.9800000000
serial, 1, 250000000, 10, 163.5900000000
serial, 1, 250000000, 11, 163.7800000000
serial, 1, 250000000, 12, 163.4700000000
serial, 1, 250000000, 13, 163.9700000000
serial, 1, 250000000, 14, 163.6300000000
serial, 1, 250000000, 15, 163.9100000000
