program,cores,problem_size,trial,execution_time
for_parallel,4,1440,1, 8.0809755772
task_parallel,4,1440,1, 7.7373215109
for_parallel_transpose,4,1440,1, 3.4826235548
task_parallel_transpose,4,1440,1, 3.5822822675
for_parallel,8,1440,1, 3.9619994909
task_parallel,8,1440,1, 4.1057851613
for_parallel_transpose,8,1440,1, 1.8016656041
task_parallel_transpose,8,1440,1, 1.8996543065
for_parallel,16,1440,1, 2.0925052315
task_parallel,16,1440,1, 2.0958216935
for_parallel_transpose,16,1440,1, 0.9606767222
task_parallel_transpose,16,1440,1, 1.0306420848
for_parallel,32,1440,1, 1.1084231064
task_parallel,32,1440,1, 1.1043146998
for_parallel_transpose,32,1440,1, 0.5231814608
task_parallel_transpose,32,1440,1, 0.6534526944
for_parallel,4,1440,2, 8.0767446458
task_parallel,4,1440,2, 8.0092298388
for_parallel_transpose,4,1440,2, 3.5028418377
task_parallel_transpose,4,1440,2, 3.5474448055
for_parallel,8,1440,2, 4.1378186792
task_parallel,8,1440,2, 4.0669051930
for_parallel_transpose,8,1440,2, 1.8073081672
task_parallel_transpose,8,1440,2, 1.8853810281
for_parallel,16,1440,2, 1.9712105170
task_parallel,16,1440,2, 2.0905380473
for_parallel_transpose,16,1440,2, 0.9503288344
task_parallel_transpose,16,1440,2, 1.0460686460
for_parallel,32,1440,2, 1.1529640555
task_parallel,32,1440,2, 1.1023850888
for_parallel_transpose,32,1440,2, 0.5270472839
task_parallel_transpose,32,1440,2, 0.6401292384
for_parallel,4,1440,3, 7.9860731363
task_parallel,4,1440,3, 7.5778466538
for_parallel_transpose,4,1440,3, 3.4759859964
task_parallel_transpose,4,1440,3, 3.5723401457
for_parallel,8,1440,3, 4.1460966989
task_parallel,8,1440,3, 4.0802047104
for_parallel_transpose,8,1440,3, 1.8148704842
task_parallel_transpose,8,1440,3, 1.8816264719
for_parallel,16,1440,3, 2.1110821366
task_parallel,16,1440,3, 2.0000780150
for_parallel_transpose,16,1440,3, 0.9440505803
task_parallel_transpose,16,1440,3, 1.0486068651
for_parallel,32,1440,3, 1.2205762342
task_parallel,32,1440,3, 1.0944687799
for_parallel_transpose,32,1440,3, 0.5234445706
task_parallel_transpose,32,1440,3, 0.6520842761
for_parallel,4,1440,4, 8.0219317451
task_parallel,4,1440,4, 8.0063951388
for_parallel_transpose,4,1440,4, 3.4908853397
task_parallel_transpose,4,1440,4, 3.5173520893
for_parallel,8,1440,4, 3.8946155682
task_parallel,8,1440,4, 3.8928734809
for_parallel_transpose,8,1440,4, 1.8002084866
task_parallel_transpose,8,1440,4, 1.8853195608
for_parallel,16,1440,4, 1.9934067875
task_parallel,16,1440,4, 2.0855998471
for_parallel_transpose,16,1440,4, 0.9641812146
task_parallel_transpose,16,1440,4, 1.0495413840
for_parallel,32,1440,4, 1.0991492271
task_parallel,32,1440,4, 1.1129080877
for_parallel_transpose,32,1440,4, 0.5260624662
task_parallel_transpose,32,1440,4, 0.6289405823
for_parallel,4,1440,5, 8.0351381451
task_parallel,4,1440,5, 7.7266397551
for_parallel_transpose,4,1440,5, 3.4835138991
task_parallel_transpose,4,1440,5, 3.5728747323
for_parallel,8,1440,5, 3.9239026383
task_parallel,8,1440,5, 4.1596671343
for_parallel_transpose,8,1440,5, 1.7975788042
task_parallel_transpose,8,1440,5, 1.9156088084
for_parallel,16,1440,5, 2.0759014636
task_parallel,16,1440,5, 2.0880027115
for_parallel_transpose,16,1440,5, 0.9369477704
task_parallel_transpose,16,1440,5, 1.0238656327
for_parallel,32,1440,5, 1.0977783501
task_parallel,32,1440,5, 1.1089380905
for_parallel_transpose,32,1440,5, 0.5185396224
task_parallel_transpose,32,1440,5, 0.6543449759
for_parallel,4,1440,6, 8.0257345289
task_parallel,4,1440,6, 7.9472275451
for_parallel_transpose,4,1440,6, 3.5006086454
task_parallel_transpose,4,1440,6, 3.5254295468
for_parallel,8,1440,6, 4.0219619423
task_parallel,8,1440,6, 4.0870563313
for_parallel_transpose,8,1440,6, 1.8126025498
task_parallel_transpose,8,1440,6, 1.8671945035
for_parallel,16,1440,6, 2.0977007896
task_parallel,16,1440,6, 2.0950730443
for_parallel_transpose,16,1440,6, 0.9629646391
task_parallel_transpose,16,1440,6, 1.0125051066
for_parallel,32,1440,6, 1.1127757877
task_parallel,32,1440,6, 1.1015386581
for_parallel_transpose,32,1440,6, 0.5242399126
task_parallel_transpose,32,1440,6, 0.6503507346
for_parallel,4,1440,7, 8.2169632986
task_parallel,4,1440,7, 7.8473652154
for_parallel_transpose,4,1440,7, 3.4562165961
task_parallel_transpose,4,1440,7, 3.5967648327
for_parallel,8,1440,7, 4.0707087144
task_parallel,8,1440,7, 3.8442111611
for_parallel_transpose,8,1440,7, 1.8225643188
task_parallel_transpose,8,1440,7, 1.8802478984
for_parallel,16,1440,7, 2.0754041150
task_parallel,16,1440,7, 2.0888799652
for_parallel_transpose,16,1440,7, 0.9465765134
task_parallel_transpose,16,1440,7, 1.0386961177
for_parallel,32,1440,7, 1.1186158285
task_parallel,32,1440,7, 1.0995652005
for_parallel_transpose,32,1440,7, 0.5243367851
task_parallel_transpose,32,1440,7, 0.6298432127
for_parallel,4,1440,8, 7.8466811702
task_parallel,4,1440,8, 8.0468735695
for_parallel_transpose,4,1440,8, 3.5519281626
task_parallel_transpose,4,1440,8, 3.5284039080
for_parallel,8,1440,8, 3.8734949082
task_parallel,8,1440,8, 3.9281141609
for_parallel_transpose,8,1440,8, 1.8013113439
task_parallel_transpose,8,1440,8, 1.8994582444
for_parallel,16,1440,8, 2.0870786533
task_parallel,16,1440,8, 1.9636116996
for_parallel_transpose,16,1440,8, 0.9640965760
task_parallel_transpose,16,1440,8, 1.0451036766
