program,cores,problem_size,trial,execution_time
serial,1,1440,1, 31.9400000000
serial_transpose,1,1440,1, 13.5200000000
serial,1,1440,2, 31.7600000000
serial_transpose,1,1440,2, 13.5200000000
serial,1,1440,3, 31.6800000000
serial_transpose,1,1440,3, 13.5000000000
serial,1,1440,4, 31.7900000000
serial_transpose,1,1440,4, 13.4800000000
serial,1,1440,5, 32.1100000000
serial_transpose,1,1440,5, 13.5100000000
serial,1,1440,6, 31.8400000000
serial_transpose,1,1440,6, 13.4900000000
serial,1,1440,7, 28.9600000000
serial_transpose,1,1440,7, 13.5600000000
serial,1,1440,8, 31.7100000000
serial_transpose,1,1440,8, 13.4900000000
serial,1,1440,9, 31.6400000000
serial_transpose,1,1440,9, 13.4900000000
serial,1,1440,10, 31.9800000000
serial_transpose,1,1440,10, 13.5100000000
serial,1,1440,11, 31.5600000000
serial_transpose,1,1440,11, 13.5100000000
serial,1,1440,12, 31.6700000000
serial_transpose,1,1440,12, 13.5400000000
serial,1,1440,13, 31.7000000000
serial_transpose,1,1440,13, 13.4900000000
serial,1,1440,14, 32.0800000000
serial_transpose,1,1440,14, 13.5100000000
serial,1,1440,15, 31.9800000000
serial_transpose,1,1440,15, 13.4900000000
serial,1,1600,1, 44.1900000000
serial_transpose,1,1600,1, 18.4900000000
serial,1,1600,2, 44.8000000000
serial_transpose,1,1600,2, 18.4900000000
serial,1,1600,3, 44.3800000000
serial_transpose,1,1600,3, 18.5000000000
serial,1,1600,4, 44.5400000000
serial_transpose,1,1600,4, 18.5000000000
serial,1,1600,5, 39.6500000000
serial_transpose,1,1600,5, 18.5000000000
serial,1,1600,6, 44.9000000000
serial_transpose,1,1600,6, 18.4800000000
serial,1,1600,7, 44.4400000000
serial_transpose,1,1600,7, 18.5000000000
serial,1,1600,8, 44.9200000000
serial_transpose,1,1600,8, 18.5200000000
serial,1,1600,9, 44.3500000000
serial_transpose,1,1600,9, 18.4900000000
serial,1,1600,10, 45.5900000000
serial_transpose,1,1600,10, 18.4900000000
serial,1,1600,11, 44.7200000000
serial_transpose,1,1600,11, 18.4900000000
serial,1,1600,12, 34.8700000000
serial_transpose,1,1600,12, 18.4900000000
serial,1,1600,13, 44.4500000000
serial_transpose,1,1600,13, 18.4800000000
serial,1,1600,14, 46.0800000000
serial_transpose,1,1600,14, 18.5000000000
serial,1,1600,15, 44.2900000000
serial_transpose,1,1600,15, 18.5100000000
serial,1,1760,1, 62.0600000000
serial_transpose,1,1760,1, 24.5900000000
serial,1,1760,2, 61.4400000000
serial_transpose,1,1760,2, 24.6000000000
serial,1,1760,3, 57.4200000000
serial_transpose,1,1760,3, 24.5900000000
serial,1,1760,4, 62.8900000000
serial_transpose,1,1760,4, 24.6200000000
serial,1,1760,5, 61.0700000000
serial_transpose,1,1760,5, 24.6000000000
serial,1,1760,6, 54.8100000000
serial_transpose,1,1760,6, 24.5900000000
serial,1,1760,7, 61.0700000000
serial_transpose,1,1760,7, 24.5900000000
serial,1,1760,8, 60.3600000000
serial_transpose,1,1760,8, 24.6100000000
serial,1,1760,9, 56.3300000000
serial_transpose,1,1760,9, 24.6100000000
serial,1,1760,10, 60.4900000000
serial_transpose,1,1760,10, 24.5900000000
serial,1,1760,11, 61.1000000000
serial_transpose,1,1760,11, 24.6000000000
serial,1,1760,12, 60.4000000000
serial_transpose,1,1760,12, 24.6200000000
serial,1,1760,13, 61.4700000000
serial_transpose,1,1760,13, 24.6100000000
serial,1,1760,14, 61.4400000000
serial_transpose,1,1760,14, 24.5900000000
serial,1,1760,15, 59.2900000000
serial_transpose,1,1760,15, 24.5900000000
serial,1,1920,1, 54.7300000000
serial_transpose,1,1920,1, 31.9300000000
serial,1,1920,2, 84.9000000000
serial_transpose,1,1920,2, 31.9100000000
serial,1,1920,3, 82.7800000000
serial_transpose,1,1920,3, 31.9100000000
serial,1,1920,4, 85.5200000000
serial_transpose,1,1920,4, 31.9200000000
serial,1,1920,5, 85.4400000000
serial_transpose,1,1920,5, 31.9300000000
serial,1,1920,6, 85.0500000000
serial_transpose,1,1920,6, 31.9300000000
serial,1,1920,7, 85.3100000000
serial_transpose,1,1920,7, 31.9300000000
serial,1,1920,8, 83.1100000000
serial_transpose,1,1920,8, 31.9200000000
serial,1,1920,9, 87.4200000000
serial_transpose,1,1920,9, 31.9600000000
serial,1,1920,10, 84.3700000000
serial_transpose,1,1920,10, 31.9500000000
serial,1,1920,11, 55.1200000000
serial_transpose,1,1920,11, 31.9200000000
serial,1,1920,12, 85.7200000000
serial_transpose,1,1920,12, 31.9200000000
serial,1,1920,13, 84.4600000000
serial_transpose,1,1920,13, 31.9400000000
serial,1,1920,14, 85.4000000000
serial_transpose,1,1920,14, 31.9200000000
serial,1,1920,15, 85.1300000000
serial_transpose,1,1920,15, 31.9600000000
serial,1,2080,1, 115.0300000000
serial_transpose,1,2080,1, 40.6300000000
serial,1,2080,2, 113.4400000000
serial_transpose,1,2080,2, 40.6300000000
serial,1,2080,3, 119.7100000000
serial_transpose,1,2080,3, 40.6100000000
serial,1,2080,4, 96.0600000000
serial_transpose,1,2080,4, 40.6100000000
serial,1,2080,5, 95.4800000000
serial_transpose,1,2080,5, 40.6200000000
serial,1,2080,6, 117.6900000000
serial_transpose,1,2080,6, 40.6300000000
serial,1,2080,7, 87.5000000000
serial_transpose,1,2080,7, 40.6100000000
serial,1,2080,8, 118.2800000000
serial_transpose,1,2080,8, 40.6000000000
serial,1,2080,9, 84.4000000000
serial_transpose,1,2080,9, 41.0300000000
serial,1,2080,10, 117.9000000000
serial_transpose,1,2080,10, 41.0100000000
serial,1,2080,11, 92.8300000000
serial_transpose,1,2080,11, 40.6000000000
serial,1,2080,12, 116.7100000000
serial_transpose,1,2080,12, 40.6500000000
serial,1,2080,13, 86.9600000000
serial_transpose,1,2080,13, 40.5900000000
serial,1,2080,14, 111.7800000000
serial_transpose,1,2080,14, 40.7000000000
serial,1,2080,15, 93.8500000000
serial_transpose,1,2080,15, 40.6100000000
serial,1,2240,1, 144.3400000000
serial_transpose,1,2240,1, 51.2800000000
serial,1,2240,2, 183.8500000000
serial_transpose,1,2240,2, 51.3400000000
serial,1,2240,3, 179.3300000000
serial_transpose,1,2240,3, 51.3300000000
serial,1,2240,4, 183.0200000000
serial_transpose,1,2240,4, 51.3100000000
serial,1,2240,5, 182.8100000000
serial_transpose,1,2240,5, 51.3100000000
serial,1,2240,6, 157.7100000000
serial_transpose,1,2240,6, 51.3500000000
serial,1,2240,7, 183.1600000000
serial_transpose,1,2240,7, 51.3600000000
serial,1,2240,8, 182.7500000000
serial_transpose,1,2240,8, 51.3300000000
serial,1,2240,9, 180.2300000000
serial_transpose,1,2240,9, 51.3100000000
serial,1,2240,10, 181.0400000000
serial_transpose,1,2240,10, 51.3700000000
serial,1,2240,11, 181.6400000000
serial_transpose,1,2240,11, 51.3100000000
serial,1,2240,12, 184.1500000000
serial_transpose,1,2240,12, 51.2800000000
serial,1,2240,13, 185.3200000000
serial_transpose,1,2240,13, 51.3200000000
serial,1,2240,14, 181.4200000000
serial_transpose,1,2240,14, 51.2800000000
serial,1,2240,15, 183.9600000000
serial_transpose,1,2240,15, 51.3000000000
