program,cores,problem_size,trial,execution_time
parallel_unit, 4, 160, 1, 9.1919727549
parallel_steps, 4, 160, 1, 8.4316612482
parallel_unit, 8, 160, 1, 5.5991885588
parallel_steps, 8, 160, 1, 4.2339860946
parallel_unit, 16, 160, 1, 3.0646270216
parallel_steps, 16, 160, 1, 2.2148226723
parallel_unit, 32, 160, 1, 1.9754067510
parallel_steps, 32, 160, 1, 1.4014862701
parallel_unit, 4, 160, 2, 9.1847836226
parallel_steps, 4, 160, 2, 8.4324961305
parallel_unit, 8, 160, 2, 5.6037394330
parallel_steps, 8, 160, 2, 4.2361239567
parallel_unit, 16, 160, 2, 3.0583111420
parallel_steps, 16, 160, 2, 2.2166790441
parallel_unit, 32, 160, 2, 1.9753317311
parallel_steps, 32, 160, 2, 1.3960469365
parallel_unit, 4, 160, 3, 9.1854080483
parallel_steps, 4, 160, 3, 8.4351919442
parallel_unit, 8, 160, 3, 5.5964627862
parallel_steps, 8, 160, 3, 4.2369521037
parallel_unit, 16, 160, 3, 3.0632731766
parallel_steps, 16, 160, 3, 2.2171540707
parallel_unit, 32, 160, 3, 1.9732912034
parallel_steps, 32, 160, 3, 1.4051569402
parallel_unit, 4, 160, 4, 9.1850594282
parallel_steps, 4, 160, 4, 8.4319797158
parallel_unit, 8, 160, 4, 5.5953058973
parallel_steps, 8, 160, 4, 4.2393602505
parallel_unit, 16, 160, 4, 3.0613892749
parallel_steps, 16, 160, 4, 2.2201076001
parallel_unit, 32, 160, 4, 1.9766459912
parallel_steps, 32, 160, 4, 1.3977858573
parallel_unit, 4, 160, 5, 9.1832185239
parallel_steps, 4, 160, 5, 8.4357625470
parallel_unit, 8, 160, 5, 5.5971541777
parallel_steps, 8, 160, 5, 4.2368091494
parallel_unit, 16, 160, 5, 3.0619752333
parallel_steps, 16, 160, 5, 2.2112705931
parallel_unit, 32, 160, 5, 1.9761162251
parallel_steps, 32, 160, 5, 1.4215781167
parallel_unit, 4, 160, 6, 9.1904627830
parallel_steps, 4, 160, 6, 8.4330444708
parallel_unit, 8, 160, 6, 5.5959793925
parallel_steps, 8, 160, 6, 4.2316094115
parallel_unit, 16, 160, 6, 3.0614722222
parallel_steps, 16, 160, 6, 2.2175730392
parallel_unit, 32, 160, 6, 1.9731766209
parallel_steps, 32, 160, 6, 1.3931475952
parallel_unit, 4, 160, 7, 9.1913181022
parallel_steps, 4, 160, 7, 8.4548566714
parallel_unit, 8, 160, 7, 5.6000282839
parallel_steps, 8, 160, 7, 4.2331518680
parallel_unit, 16, 160, 7, 3.0646499544
parallel_steps, 16, 160, 7, 2.2195798978
parallel_unit, 32, 160, 7, 2.0119121075
parallel_steps, 32, 160, 7, 1.4001349732
parallel_unit, 4, 160, 8, 9.2348790467
parallel_steps, 4, 160, 8, 8.4682811797
parallel_unit, 8, 160, 8, 5.5984390900
parallel_steps, 8, 160, 8, 4.2273925915
parallel_unit, 16, 160, 8, 3.0640425235
parallel_steps, 16, 160, 8, 2.2136527300
parallel_unit, 32, 160, 8, 1.9919558689
parallel_steps, 32, 160, 8, 1.4217973799
parallel_unit, 4, 160, 9, 9.1877138540
parallel_steps, 4, 160, 9, 8.4368540794
parallel_unit, 8, 160, 9, 5.5969758630
parallel_steps, 8, 160, 9, 4.2456186637
parallel_unit, 16, 160, 9, 3.0628770813
parallel_steps, 16, 160, 9, 2.2157507762
