program,cores,problem_size,trial,execution_time
parallel, 4, 100000000, 1, 11.6302190721
parallel, 8, 100000000, 1, 7.1748102903
parallel, 16, 100000000, 1, 9.4599214271
parallel, 32, 100000000, 1, 5.0185941160
parallel, 4, 100000000, 2, 11.6509607956
parallel, 8, 100000000, 2, 7.1536107957
parallel, 16, 100000000, 2, 5.2971537635
parallel, 32, 100000000, 2, 4.7010081410
parallel, 4, 100000000, 3, 11.7269415483
parallel, 8, 100000000, 3, 7.1569171101
parallel, 16, 100000000, 3, 5.3007955253
parallel, 32, 100000000, 3, 4.7532829940
parallel, 4, 100000000, 4, 11.7690402418
parallel, 8, 100000000, 4, 7.1719489694
parallel, 16, 100000000, 4, 5.3247558475
parallel, 32, 100000000, 4, 6.5489531532
parallel, 4, 100000000, 5, 11.7338568494
parallel, 8, 100000000, 5, 7.1801460832
parallel, 16, 100000000, 5, 5.2933716699
parallel, 32, 100000000, 5, 4.6978166103
parallel, 4, 100000000, 6, 11.7349754125
parallel, 8, 100000000, 6, 7.1295563802
parallel, 16, 100000000, 6, 5.2900310308
parallel, 32, 100000000, 6, 4.7073674127
parallel, 4, 100000000, 7, 11.6264771000
parallel, 8, 100000000, 7, 7.1214744598
parallel, 16, 100000000, 7, 9.1977018341
parallel, 32, 100000000, 7, 4.7440725714
parallel, 4, 100000000, 8, 11.6299769208
parallel, 8, 100000000, 8, 7.1256999597
parallel, 16, 100000000, 8, 5.2907885313
parallel, 32, 100000000, 8, 4.7561401352
parallel, 4, 100000000, 9, 11.6204456761
parallel, 8, 100000000, 9, 7.1460607424
parallel, 16, 100000000, 9, 5.2600182369
parallel, 32, 100000000, 9, 4.7496142387
parallel, 4, 100000000, 10, 11.7388172522
parallel, 8, 100000000, 10, 7.1899636388
parallel, 16, 100000000, 10, 5.3350232542
parallel, 32, 100000000, 10, 6.5883490294
parallel, 4, 100000000, 11, 11.6411573440
parallel, 8, 100000000, 11, 7.2147404626
parallel, 16, 100000000, 11, 5.3173285499
parallel, 32, 100000000, 11, 4.7602904662
parallel, 4, 100000000, 12, 11.6364460811
parallel, 8, 100000000, 12, 7.1658552513
parallel, 16, 100000000, 12, 5.3049714863
parallel, 32, 100000000, 12, 4.7229892612
parallel, 4, 100000000, 13, 11.7563955113
parallel, 8, 100000000, 13, 7.1589374319
parallel, 16, 100000000, 13, 5.2986221388
parallel, 32, 100000000, 13, 4.7289014906
parallel, 4, 100000000, 14, 11.6294878721
parallel, 8, 100000000, 14, 7.1574598104
parallel, 16, 100000000, 14, 5.2872835696
parallel, 32, 100000000, 14, 6.1774452180
parallel, 4, 100000000, 15, 11.6066557840
