program,cores,problem_size,trial,execution_time
serial, 1, 100000000, 1, 36.2900000000
serial, 1, 100000000, 2, 36.3000000000
serial, 1, 100000000, 3, 36.2800000000
serial, 1, 100000000, 4, 36.3000000000
serial, 1, 100000000, 5, 36.3300000000
serial, 1, 100000000, 6, 36.2800000000
serial, 1, 100000000, 7, 36.3100000000
serial, 1, 100000000, 8, 36.2900000000
serial, 1, 100000000, 9, 36.3000000000
serial, 1, 100000000, 10, 36.2900000000
serial, 1, 100000000, 11, 36.2900000000
serial, 1, 100000000, 12, 36.2900000000
serial, 1, 100000000, 13, 36.3200000000
serial, 1, 100000000, 14, 36.3000000000
serial, 1, 100000000, 15, 36.3200000000
serial, 1, 150000000, 1, 55.9400000000
serial, 1, 150000000, 2, 56.0200000000
serial, 1, 150000000, 3, 55.9200000000
serial, 1, 150000000, 4, 56.0400000000
serial, 1, 150000000, 5, 55.9300000000
serial, 1, 150000000, 6, 55.9500000000
serial, 1, 150000000, 7, 55.9300000000
serial, 1, 150000000, 8, 56.0100000000
serial, 1, 150000000, 9, 56.2800000000
serial, 1, 150000000, 10, 55.9800000000
serial, 1, 150000000, 11, 55.9300000000
serial, 1, 150000000, 12, 55.9200000000
serial, 1, 150000000, 13, 55.9600000000
serial, 1, 150000000, 14, 55.9100000000
serial, 1, 150000000, 15, 55.9900000000
serial, 1, 200000000, 1, 74.8500000000
serial, 1, 200000000, 2, 74.8600000000
serial, 1, 200000000, 3, 74.8400000000
serial, 1, 200000000, 4, 74.9600000000
serial, 1, 200000000, 5, 74.8700000000
serial, 1, 200000000, 6, 74.9100000000
serial, 1, 200000000, 7, 74.8600000000
serial, 1, 200000000, 8, 74.9500000000
serial, 1, 200000000, 9, 74.8400000000
serial, 1, 200000000, 10, 74.9300000000
serial, 1, 200000000, 11, 74.9000000000
serial, 1, 200000000, 12, 74.9100000000
serial, 1, 200000000, 13, 74.9800000000
serial, 1, 200000000, 14, 75.4200000000
serial, 1, 200000000, 15, 74.8900000000
serial, 1, 250000000, 1, 94.9500000000
serial, 1, 250000000, 2, 94.9400000000
serial, 1, 250000000, 3, 94.9500000000
serial, 1, 250000000, 4, 95.2000000000
serial, 1, 250000000, 5, 95.0200000000
serial, 1, 250000000, 6, 94.9200000000
serial, 1, 250000000, 7, 94.9600000000
serial, 1, 250000000, 8, 94.9400000000
serial, 1, 250000000, 9, 95.0400000000
serial, 1, 250000000, 10, 94.9300000000
serial, 1, 250000000, 11, 94.9900000000
serial, 1, 250000000, 12, 94.9600000000
serial, 1, 250000000, 13, 94.9300000000
serial, 1, 250000000, 14, 94.9400000000
serial, 1, 250000000, 15, 94.9600000000
serial, 1, 300000000, 1, 115.3700000000
serial, 1, 300000000, 2, 115.2600000000
serial, 1, 300000000, 3, 115.2500000000
serial, 1, 300000000, 4, 115.2700000000
serial, 1, 300000000, 5, 115.4400000000
serial, 1, 300000000, 6, 115.2700000000
serial, 1, 300000000, 7, 115.2900000000
serial, 1, 300000000, 8, 115.2600000000
serial, 1, 300000000, 9, 115.2300000000
serial, 1, 300000000, 10, 115.2900000000
serial, 1, 300000000, 11, 115.2400000000
serial, 1, 300000000, 12, 115.5300000000
serial, 1, 300000000, 13, 115.2500000000
serial, 1, 300000000, 14, 115.3400000000
serial, 1, 300000000, 15, 115.2600000000
serial, 1, 350000000, 1, 135.4200000000
serial, 1, 350000000, 2, 135.5800000000
serial, 1, 350000000, 3, 135.8900000000
serial, 1, 350000000, 4, 135.4300000000
serial, 1, 350000000, 5, 135.9300000000
serial, 1, 350000000, 6, 135.5500000000
serial, 1, 350000000, 7, 135.9400000000
serial, 1, 350000000, 8, 135.4600000000
serial, 1, 350000000, 9, 135.5600000000
serial, 1, 350000000, 10, 135.6900000000
serial, 1, 350000000, 11, 135.6500000000
serial, 1, 350000000, 12, 135.4900000000
serial, 1, 350000000, 13, 135.4800000000
serial, 1, 350000000, 14, 135.5300000000
serial, 1, 350000000, 15, 135.5300000000
